OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
+,2565,8813,3897,4432,8204,9477,6620,2568,227,7807,4320,3571,3084,1098,2769,4688,8604,5602,7658,4029
+,2357,4935,1822,8937,3349,3175,7819,8722,2020,8351,8508,468,1404,599,4190,8220,9809,3904,3804,4347
+,500,9150,5057,2371,5833,7131,3799,1843,8315,9593,2181,2472,5412,1203,8349,6664,4856,6786,9901,1001
+,5740,9539,9517,9419,433,5212,2448,6481,589,3556,3771,5700,3156,8892,8990,7382,8184,7730,2259,5144
+,2509,771,1399,4377,6989,9565,5434,7228,871,8696,779,9059,746,6810,4756,2038,5535,5954,3287,7431
-,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4363,1732,3743,7647,4608,8600,7618,3994,1597,38,8421,3309,5816,7977,3625,9336,7105,4660,3375,2541
+,5990,5766,4107,4713,6729,7658,19,7974,1044,4102,1579,8518,6245,2736,7789,1000,9366,7457,4618,7729
+,4662,6375,1674,1064,9734,132,535,2117,6448,1220,6898,4580,934,4576,3630,3892,4000,1741,3820,5330
+,3023,670,4165,1874,2684,6098,7052,541,1774,6853,2614,3238,6793,5750,8343,3059,4808,4043,1083,4220
+,1154,5822,1611,7878,9615,188,7512,3385,7797,669,885,5646,2195,6157,4685,9279,3042,5736,4969,4015
+,6959,2562,524,3388,7172,2025,5685,1643,2649,8796,6410,7767,9381,7656,8865,3445,3094,1867,1480,4711
-,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3614,8920,487,9184,2300,7503,1565,7169,5298,1493,6586,8729,144,2686,7332,8860,5003,4180,3343,6188
+,7287,1902,2380,8012,1921,3840,1358,7689,5264,1612,1056,6597,7189,3672,7082,8696,6053,6626,6084,4304
+,2186,4647,3920,942,1874,1427,7570,1288,4254,3608,2643,5485,9383,9043,3560,1958,7437,7009,4679,4138
+,6104,3530,3976,4047,2220,5568,9868,9441,1317,7115,2774,1141,7405,6032,366,1673,7987,119,4108,1744
+,3640,6004,4928,9195,3702,1998,859,1175,2895,1521,9009,900,6606,228,4877,6926,8952,6767,4738,4562
+,7466,7703,9769,2124,2552,2559,3982,2058,9344,1985,9197,8321,3364,9084,446,4843,8669,2831,4903,5763
+,6324,5385,2825,8319,6407,28,3038,1648,1848,1464,7753,5513,2310,9879,3225,4201,6132,332,3678,2127
+,1158,3425,3386,234,7162,7846,5133,2975,2927,4209,5280,5315,5429,3862,4168,9888,7294,8720,4611,7505
-,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4339,5594,5307,5847,7040,4015,6,5355,457,5667,8488,6453,8586,9763,2503,4912,5354,7906,8275,9555
-,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,8232,4347,2574,9678,6048,6520,2145,7917,7355,3486,5683,2442,9726,9198,2947,3975,6351,9696,4737,3246
+,7602,5007,1284,4013,6951,2657,8732,5171,9371,1077,1876,1281,5795,6067,6674,9136,3737,5244,4982,4198
+,9536,6527,128,1143,8760,2673,2111,9297,7101,7999,7450,3904,3539,9342,5943,2329,9083,213,7138,1220
+,7836,7904,7046,942,1335,440,78,2752,2045,2601,106,7035,1689,8622,8325,9995,7811,5934,7077,6602
+,2831,5921,1260,7948,6797,5151,6342,5541,799,8292,7908,9207,9276,1576,1807,8441,7292,4700,3778,6093
-,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,358,8712,3702,7829,371,328,4197,4989,3859,6360,7321,2144,5909,7992,5373,6271,5675,4622,2747,9089
+,8017,893,4107,6095,5450,5637,3640,8869,3655,4810,1937,1025,4907,1277,752,1995,6363,5783,8032,9776
+,1031,3057,9402,8474,3273,2341,747,4552,1442,3323,1366,8580,3546,3771,486,490,2715,2292,8159,719
+,8992,4305,5952,7514,3158,8380,1750,6209,9796,7174,2446,1981,8231,7396,8487,3957,5307,6258,1411,8183
+,4882,829,6186,1269,7245,5442,9371,4216,7199,5113,8726,4602,8809,4261,2933,9945,4706,8942,365,2626
+,2362,4137,7441,2695,9779,787,840,3815,513,3927,2470,3347,4247,3687,8654,9,8176,1245,3372,3642
+,4756,2141,7316,1943,78,5861,1086,3291,2324,1928,959,169,5729,8627,5743,1912,227,2889,5811,573
+,2104,8317,6672,4195,1494,5157,7940,9500,6479,5862,3222,7677,9072,6459,9754,7979,5085,1125,3342,9192
+,2201,8468,5292,5684,2131,179,444,634,9399,6190,8449,3451,7411,6084,2805,6890,4669,4017,9893,8102
+,5073,3132,9268,4702,8676,6268,5217,9742,1734,5600,6594,6885,2340,6005,16,9379,1979,5929,3694,4321
-,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7470,68,5541,3511,7022,6622,956,7008,1340,9446,7940,3029,9714,5158,4102,2355,3654,7072,1998,2176
+,2604,9952,7074,1806,5691,1787,6884,4093,4167,9590,6688,8402,9004,4231,802,7506,7610,8275,5430,6004
+,1807,252,3714,6545,9024,5996,5237,3924,251,9240,2437,4463,6038,3098,8476,4715,2573,2130,3963,9279
+,5238,9276,8614,8373,7319,3193,7378,4377,9879,1121,9247,226,7871,7769,5396,3737,752,5925,4966,4861
+,5912,3898,306,7683,5439,8131,5182,2419,1695,9221,9447,4875,9184,6516,571,3290,6231,2534,7554,8460
+,785,4143,425,7599,4553,6978,3696,1091,4479,3435,8823,1342,9229,1355,3892,6330,369,8461,6194,2483
+,6515,9310,2122,8151,7805,1846,902,3758,9464,6607,493,9494,7235,5360,649,3064,9135,7551,6707,1042
+,9018,2976,3167,5703,7912,6731,9198,636,7290,1754,3982,3746,6440,2066,4653,4724,1789,7469,1675,491
+,9610,8151,6644,9847,2665,6646,4292,3188,9913,6974,9120,3847,2204,622,7369,5704,240,9638,4729,6612
+,4804,3085,3453,3649,2513,9056,1916,1139,1076,1046,3056,5650,2110,8984,8520,6956,3130,953,4197,6466
+,409,4243,8139,9308,2861,2681,6767,6297,8060,7013,9577,7727,6183,7127,3632,2291,9459,7563,9981,653
+,9002,2027,6876,2674,4271,2651,3913,363,5756,3672,7158,9317,7231,1512,963,5774,4859,3086,5768,5290
+,6110,4418,3811,7471,5535,7216,8297,591,9796,8423,2235,60,2369,5495,6960,1975,4731,5182,1328,2584
+,4211,8625,3564,8103,8420,2288,2472,241,5943,7057,7271,8389,9173,2391,8432,7674,5203,9693,4059,6078
-,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6410,6781,4241,7648,927,2280,796,5748,4743,660,5063,8664,4619,5802,8856,749,2607,5908,2466,5591
+,7282,8250,3013,7985,6700,2723,1723,2357,1008,1322,5858,3317,1973,9384,1361,6541,7053,3194,1438,6113
+,1505,4803,8100,8535,5272,4936,6069,3403,5574,1686,5577,2991,8441,9254,8628,6570,571,8893,2484,9177
+,6018,3598,7068,8575,3982,5939,2857,3352,1332,7548,6299,9719,3427,9600,6780,793,6212,8475,6777,3310
+,6263,5157,1508,4342,340,8171,6379,2672,6558,2453,4964,4797,1834,9153,5505,4360,861,1845,1422,1610
+,3010,9428,8047,850,2615,6311,9883,1408,5236,1598,7584,7185,879,7690,2416,1249,4799,4283,45,8077
+,870,1980,230,9892,5318,9637,6379,560,730,5742,3664,4678,3768,4118,1740,7849,2772,2810,8025,4587
+,8182,2825,1244,7554,8866,2264,3987,8112,172,1694,1566,3483,6629,3310,4007,9959,7859,3731,7181,8609
+,989,5547,6718,9127,8117,2596,3269,5013,1785,1591,1982,718,8560,3849,5686,4167,4146,9939,6608,4718
+,2148,4431,7077,2167,1645,9868,585,4137,1502,8077,2152,7386,308,2384,5130,4546,8614,6524,4301,1317
+,4665,2280,8896,9930,5154,9346,2845,3523,9899,2272,4262,994,5989,574,1900,3860,745,2436,2929,2332
+,8034,658,2058,4730,831,4404,2501,5569,6142,5218,3362,5223,5005,787,218,6283,2108,1177,2750,328
+,5419,1914,4585,8710,1479,8260,7093,3287,1793,1824,880,3899,5674,9856,2618,1572,4475,892,4223,9444
+,2623,3022,8362,1200,8910,9309,7473,7677,3836,6858,4772,8985,8952,8023,99,1161,8543,3433,373,8660
+,848,3459,5489,4923,4273,3347,1224,3060,4011,8963,1410,1746,6358,6329,3797,3011,4239,5851,422,4448
+,837,8542,6205,7633,8481,6306,706,9230,7676,2037,2498,8434,3718,2135,4274,7810,6096,9470,4497,8457
+,1860,7092,6863,9947,9252,6897,116,1928,4576,8939,3438,7516,5648,4792,2333,5918,4008,4564,2299,7890
+,9469,3196,3867,8464,5397,2782,9914,5159,6894,9869,8389,9909,806,818,6627,6678,5967,7888,3591,2557
+,5759,8026,3847,2523,4079,6928,3440,8805,844,1443,7878,3557,9751,6214,7227,935,5126,9642,1173,7238
+,5807,9957,6479,5136,8311,946,7220,3399,258,8647,8596,2720,4875,3760,762,9717,4485,7301,5257,2930
+,2703,6393,910,8853,2135,623,364,2329,2318,520,8518,2259,4938,7721,9614,808,6547,7209,3078,7574
-,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,5988,7233,8938,3215,9293,1998,7200,4200,6495,2964,7612,1333,9709,5917,4375,4181,4782,8164,1340,5065
+,7570,6919,8993,3209,696,6274,5637,9424,1894,9254,2780,8649,7346,6576,610,8856,9553,7130,2571,3262
+,4410,6664,7295,6145,8611,1651,4618,4667,4406,1469,9383,5318,1277,8483,1934,6287,3344,2198,268,7245
+,3401,7467,9094,3550,302,5015,5608,5995,5933,5299,5536,9183,5425,8944,2560,2133,3454,1227,5918,3845
+,9063,6280,924,9289,9388,9174,7398,9261,904,6066,4017,4168,251,7685,2525,1723,5109,4500,7354,4089
+,6414,9536,3219,583,369,9931,2849,7094,2423,4070,5525,7229,3823,7422,4820,9542,6728,7232,5036,5802
+,2864,2402,1586,621,541,2559,2020,2404,1712,2062,9967,515,18,4241,3192,5330,6067,7806,8248,7824
+,7890,570,7168,1271,5856,2325,7365,3510,6181,1144,9701,6459,3449,1503,3803,1233,8302,2236,4474,1266
+,8140,4276,7882,3407,7241,9883,2481,3416,2145,7954,5440,3689,8495,180,5820,9192,1213,7456,7151,9492
+,1869,8125,5991,4543,5732,1513,2718,6828,965,1655,3827,7939,7867,8732,8559,830,9657,3719,8394,2171
+,6013,1153,4980,7793,996,7052,2571,6135,9208,5056,5510,5152,3479,7963,932,2067,9089,562,5633,2223
+,623,2454,445,5889,4242,8208,9260,8137,3325,1515,3060,8865,4106,9800,8625,645,4698,8936,9050,3476
+,3038,2404,4343,9935,6581,727,7291,2575,6942,420,2043,7497,659,5860,4124,1357,3303,9266,4585,2313
+,9743,7968,6066,4048,6065,101,6122,7884,5586,7888,3117,4802,7630,99,3873,8218,8332,692,683,8358
+,8122,2640,8430,5347,247,8919,4387,5822,8667,4289,1208,6042,493,5936,2928,1037,8681,4924,7681,5409
+,399,7862,6532,7725,4019,1304,9850,8875,1301,8660,3615,9046,7357,4123,3916,4663,82,959,5231,4879
+,295,9061,3196,954,3822,58,9122,4258,6196,7098,8475,7532,4925,7901,3905,8524,306,8279,7303,2864
+,3417,1639,1477,5187,4119,3578,4145,5559,8759,8240,7322,5223,1655,1885,3559,8024,1346,173,3948,6377
+,9787,2936,2536,82,6155,4693,8046,254,2493,3056,8539,1826,1363,3080,9712,5444,9199,2866,945,3664
+,362,7876,3781,363,7746,3657,2973,3647,6283,5164,6615,3643,7538,5494,418,4211,6532,9855,1974,9911
+,9249,6853,7747,7172,3414,5013,4298,6762,8399,6063,3311,76,5599,7666,9299,8427,8857,3263,6923,2517
+,97,4628,9781,9892,5622,3226,3263,9674,4824,8254,7594,8856,1116,5834,3991,1731,2755,7728,768,5139
+,489,4431,686,5705,7030,553,6446,9919,3007,4686,8238,2203,7832,5239,2324,5251,9380,4833,5833,7391
+,4486,7272,598,2695,3293,6806,2532,4898,5862,5890,9531,4822,3618,5833,3881,7078,2815,369,4474,6928
+,6687,386,7085,2447,1299,5024,6213,7535,7324,9509,5666,9064,7580,3249,6697,2877,2363,8463,6441,8816
+,2756,9433,3358,3669,4038,6969,8064,9160,3724,4353,8827,1273,4372,3344,1509,3279,7432,6894,6039,3284
+,3382,2779,6962,9027,1013,9378,4499,7163,4157,5993,5815,5735,3855,3219,8346,6656,414,7779,3303,9886
+,3584,7372,8535,9823,7033,9052,6378,6163,2250,7676,3114,1814,328,9311,5837,9028,1924,8581,5523,3272
+,1061,6453,4792,6472,9953,534,8634,2248,6780,8120,7746,4003,9618,3940,1517,9762,6520,7127,1739,7534
+,7111,9060,9473,6819,732,4136,8887,2531,3764,9977,2812,1748,4184,7141,8587,8374,6852,5353,6134,6618
-,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,1542,1748,3496,7035,9390,7207,7189,3227,594,4963,634,680,9330,8382,6812,612,4654,4549,9799,6051
+,1136,2294,6281,4310,3392,8205,8068,1701,2176,2528,7283,710,5580,2894,2896,4760,9104,5054,4232,3638
+,7035,6906,2755,3417,7784,8479,5422,4148,4998,4047,4975,3197,9194,5121,9473,9212,6495,8593,3525,2949
+,1668,5193,2700,1514,8928,2759,7789,3445,5515,6079,6281,6821,6749,3001,1621,2050,8538,6802,8804,9868
+,9274,4111,2815,3560,8144,7350,7575,7766,1318,1326,2156,5537,2424,2949,9539,821,4771,9780,4394,5618
+,3528,1728,5377,3549,8912,1754,1713,627,7632,359,692,7482,2903,8471,6547,2313,4794,4137,888,7260
+,355,7970,4485,2440,8099,2114,4422,8178,1531,6963,5249,1066,6534,5419,3398,7793,5671,130,827,6218
+,4478,6232,9694,5725,5328,1881,2842,5427,8007,1818,5650,7328,2555,5611,5529,6533,8410,369,3192,9563
+,347,1372,6115,5149,1699,4631,8706,4634,1776,5552,2553,3815,1884,4245,9742,5247,8864,3041,9808,6977
+,432,6847,456,5094,3966,3151,4664,418,5538,1948,5620,1102,7266,5079,6833,9028,7107,4911,4946,146
+,7447,7933,2720,7093,7262,2353,7235,5943,9348,4646,7728,6505,7059,6635,1697,6144,7961,6197,7425,3846
+,8633,7571,4017,9039,9587,3147,5330,5656,1141,1993,1638,5986,7297,643,3270,7659,3199,580,3177,7948
+,8353,8899,299,7566,4967,4986,6523,3423,7360,3830,5613,6273,9781,2676,5686,6766,5387,1052,7778,6983
+,3242,7076,5677,8976,1102,9893,5197,9359,676,4390,5199,6848,9175,4132,3766,7266,3420,7061,6457,4173
+,2036,8770,4387,8618,4918,4825,6709,4480,9982,2397,7398,2350,3947,8293,3492,3443,5748,437,9457,1030
+,3511,4631,5874,383,3178,4085,7035,4697,1006,2900,2357,18,9430,4824,4795,2470,6242,3116,2162,7491
-,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6528,5869,9626,6583,65,8709,572,7229,3044,6495,6675,27,2486,940,936,2914,1382,9927,6672,5049
+,3908,4400,3493,3465,5666,2484,7859,3070,2027,1360,5397,4513,7310,2247,8696,4119,679,6261,6917,3428
+,7165,6853,2178,3302,1042,4300,5809,728,8889,4047,5486,3383,3239,7505,7873,5007,8120,9441,8236,2964
+,5281,8157,801,3829,2190,8017,1188,536,3351,2679,2654,7125,1689,7754,6516,6759,944,5855,1469,6008
+,1309,4142,2706,1654,1711,8085,5851,2140,2988,2522,3006,4023,9363,2010,3314,1069,4464,8477,1388,8860
+,3538,9868,6445,3512,3485,2913,3632,2724,9855,6444,6023,2502,8965,1008,8814,1450,3099,9345,7966,2447
+,6558,855,2634,1914,616,8320,6679,6663,3113,2666,9741,7619,2370,2475,3026,6055,466,3405,8981,9953
-,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,281,2020,9648,3258,1817,1208,7836,3484,4139,280,3398,6873,6867,8446,5468,3017,4356,9146,2083,304
-,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3478,122,2727,7292,5922,3282,2880,4318,8351,3595,5035,8747,7057,9377,9625,3281,1734,3768,2432,798
+,349,6685,2127,8061,3171,9012,7006,6659,5656,4895,5450,1363,7794,3554,81,7499,1120,198,4085,4891
+,6886,580,9204,9894,4291,6660,6699,3211,7457,9822,9884,1216,3828,9921,3839,7894,5805,2443,5855,3146
-,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,4907,5480,7538,5487,7644,808,7910,7219,8922,2040,3498,6603,8247,8598,1104,27,8681,6581,8670,9357
+,1900,6936,3025,3932,4117,1164,5111,2950,6633,9336,8062,4750,3515,1332,8613,8812,8452,6884,6121,9882
+,3421,1201,1236,5698,1952,9794,2457,2060,1647,2620,5917,1893,6066,762,460,4506,8530,334,9094,2780
+,8481,7537,6562,6054,5831,8805,6783,2433,5647,4728,8509,8678,2605,6178,5807,7359,8485,4348,9060,530
+,6670,9468,4187,9714,3564,9227,9718,7124,1202,822,7948,9846,4404,6502,5212,9742,3133,4514,1351,1907
+,9710,6138,4907,5595,3619,1571,4103,6725,9350,6926,8635,5569,3773,8161,7817,4050,3091,8295,3760,5205
+,9363,9606,5653,7232,4968,207,2677,6115,3629,1406,9622,1512,6216,8202,8311,973,7496,2041,1183,7061
+,7145,4832,5240,8978,8933,3491,2904,9306,1282,4979,6578,3302,5852,3877,9675,7112,7079,7145,772,213
-,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,582,6794,1833,1751,7902,3993,4966,6815,7643,636,4790,5813,9465,943,8072,2458,9668,8604,1002,6986
+,2307,3838,8349,5687,2971,1665,9952,9849,1444,7862,6525,8642,8476,4941,973,7718,893,2244,9147,7875
+,5020,6672,5313,9791,878,6310,7453,8919,4851,5478,9193,5668,5412,9650,2555,7197,1384,8306,8676,9426
+,2836,4285,6495,957,6825,8955,9717,4351,4593,2836,8583,864,6181,6243,8003,5781,8117,8696,7373,7668
+,9671,985,5542,6304,842,5610,3656,8227,6517,3104,1951,8890,8135,3564,5878,3848,9573,9567,6446,6615
+,4552,3909,6887,1296,4236,7625,7266,6524,164,8734,6554,7,2317,6258,2704,3093,4293,712,7770,1195
-,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,154,8615,2609,7486,9600,9226,2022,2623,3196,9504,7668,1253,4217,1632,1470,3238,9120,4428,671,305
+,4316,1242,9310,9387,5186,1935,2586,6793,1320,4487,6842,6508,5820,6613,1871,9370,3119,1167,9099,3801
+,4757,4009,9702,4751,1064,6201,955,3439,7391,8639,6530,7530,5025,9336,8402,4391,4069,9627,3761,1915
-,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,6167,6132,622,6769,7813,8880,9502,4118,814,2001,2000,9490,4178,6502,2087,4092,5293,4824,2632,3004
-,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7370,1952,5810,7876,1410,9272,3076,1890,3522,8957,9419,9793,3936,4768,1670,6555,645,4182,5626,5102
+,1922,8191,215,9274,7089,3306,1705,7737,8092,7012,9965,6462,329,7474,7712,4076,7835,6936,4039,3004
+,327,1577,223,8745,4111,8608,7472,611,8382,449,8695,1461,2532,7248,5543,3689,534,5786,6946,1886
+,4408,9506,9843,5080,8958,7198,4888,8688,6640,7970,7687,9157,8228,7000,9017,9563,7402,1564,6199,1920
+,7097,7080,9427,7853,6375,2368,5091,3588,5868,51,1946,3406,9218,1766,1891,4527,2381,540,2238,4481
+,5273,3807,281,738,969,2364,7794,2551,6118,260,750,7858,3506,2821,3784,8030,3143,5786,1384,3391
+,3977,7489,3623,6884,6113,5591,2794,8372,5597,1804,9808,5923,8238,27,4718,5662,5388,9255,2265,6657
+,5983,778,6545,1019,1798,6790,1767,3712,4190,8859,3455,6173,2423,432,5242,1232,3330,4977,2683,236
+,2167,1605,4661,4201,843,3105,3179,9731,9123,7602,9234,3096,2777,2044,7927,6508,6991,8712,5221,5483
+,5104,4992,6569,2119,140,2729,7480,3849,4641,8710,689,2718,8941,4947,3638,8260,52,8934,6539,7006
-,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,2166,8404,1978,1899,3372,4850,7422,233,6395,3092,8690,437,9887,4678,9739,7410,1588,2720,5768,1500
+,9844,9647,5743,5370,5922,3252,7492,674,6384,4932,3666,2462,7456,2141,7610,7518,5454,3785,7377,6264
+,933,8968,976,1761,4863,86,9445,4787,9999,838,3544,53,8057,8226,6420,6649,269,1450,1219,8365
+,8281,7610,1979,7346,7866,9894,5015,5861,703,1350,7961,3363,1121,5945,7085,5899,5001,3912,4495,455
-,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,7987,5219,2320,2744,3190,5218,3176,6674,9897,6534,3776,319,8172,3746,326,1383,1752,1156,6950,2838
+,2750,1336,3174,9902,7906,6396,5833,5713,5942,8717,6908,4471,1973,4464,1626,7414,7957,7700,8204,3616
+,6631,3502,8724,7252,5033,2285,6039,4104,8583,4588,724,6982,1020,7246,7144,2327,2037,6355,7156,3441
+,4950,4716,8517,4265,380,5591,1510,8578,6066,6590,9699,4594,1552,9734,506,2098,5604,9743,1710,3385
+,4048,3811,7454,6810,2627,1563,9579,1706,2746,5927,348,6303,6175,1399,3092,6418,3079,3898,9425,5228
+,9168,9379,5963,591,2233,6584,3812,1940,7482,9133,4377,3060,2713,5613,9451,9016,4160,7783,59,6009
+,4216,3101,461,3960,643,6434,3103,2379,8074,303,591,3894,2393,3825,364,7663,1454,414,2437,1454
+,1118,4693,9166,3367,3258,1912,9838,5710,8780,8628,9860,3878,5272,2814,8919,7995,8667,9402,1439,8684
+,1789,1553,2009,2223,1045,1630,1202,8942,8216,5345,2951,4299,2355,9774,8463,2094,5118,4027,4654,3792
-,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,9373,1479,1598,4591,9514,9395,4940,4866,5449,2642,3143,4500,1549,6950,2039,4474,2425,3703,455,8033
+,9662,9164,5178,9654,7448,7126,9786,6237,5684,8547,4571,9228,3889,2678,8504,8444,5831,2069,3984,8576
+,2040,5171,2226,2119,2085,368,3858,3432,8733,2277,232,4301,5875,7353,9923,8574,490,9550,348,6397
+,657,5885,6761,3692,7590,4246,8836,537,9070,7836,1676,5999,6702,9604,5999,9628,2560,6081,9353,8707
+,8445,4071,3463,8876,6694,4752,4744,1134,7006,2720,8539,80,1204,5233,3746,2597,1499,8808,4075,2544
+,1233,8297,2709,9252,4001,5953,3303,55,837,4451,8933,4824,2533,4942,5141,9929,2454,8501,478,2254
+,1858,9582,9611,6138,5153,5002,9454,2176,9492,5751,2909,5504,470,7305,1788,6906,7389,9136,6518,7379
-,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
+,3355,1191,6306,2741,3038,9609,5205,2528,8011,4209,4135,627,8818,175,101,8332,4075,8146,5604,9196
+,4773,4519,387,9811,2529,5631,5956,8966,6779,7758,7016,9816,2451,6242,6807,9220,5725,1156,6588,5057
+,2731,6443,2157,2124,8854,3228,9288,3874,127,9041,8806,6322,5004,8423,1917,3438,3492,7720,8393,3868
