OP,A1,A2,A3,A4,A5
-,565,0,0,0,0
-,3078,0,0,0,0
+,8525,8212,5153,8509,3797
-,5561,0,0,0,0
+,2171,8893,6637,3302,2216
+,3010,9375,3843,733,6636
-,4414,0,0,0,0
-,6165,0,0,0,0
+,1248,9150,6144,8170,7650
+,1113,5368,1666,766,764
+,7204,9379,1392,7034,9175
+,7087,9124,9234,4383,9102
-,318,0,0,0,0
-,724,0,0,0,0
+,4218,5337,1903,7703,576
-,2263,0,0,0,0
-,6798,0,0,0,0
+,7328,8719,7944,4408,6057
-,567,0,0,0,0
-,1009,0,0,0,0
-,3390,0,0,0,0
+,2185,5113,4853,3190,8639
+,6222,4209,6480,6769,7479
+,9315,1606,6910,4143,2586
+,6013,8530,2625,5212,4315
+,4049,704,5098,1531,3501
+,781,2685,2803,438,4576
+,3445,6005,7804,7295,680
+,7926,5650,4401,5812,6120
-,2695,0,0,0,0
+,7607,5562,9988,2193,9628
+,9840,9841,5593,652,6477
+,7571,5008,9726,6993,7786
-,6139,0,0,0,0
-,505,0,0,0,0
-,3749,0,0,0,0
-,1727,0,0,0,0
+,267,9945,982,5799,8690
+,2667,221,3059,485,2407
+,1167,7487,3562,7439,8171
+,5212,3805,3119,3828,6067
+,233,760,9879,6697,8910
-,4581,0,0,0,0
-,7965,0,0,0,0
-,6183,0,0,0,0
+,7366,290,6412,1015,1175
+,2207,8460,1879,5321,6661
+,3093,7174,7710,5183,1316
+,1690,4648,8499,1527,9859
-,5316,0,0,0,0
+,2662,5137,220,3802,4389
-,732,0,0,0,0
+,4812,8856,6427,38,2510
+,8058,7798,2518,1221,3491
-,2840,0,0,0,0
+,8908,404,1049,9100,4182
+,8526,4039,9026,4901,6287
+,2646,5293,4530,3783,1476
+,5972,2283,1729,5897,5500
-,1695,0,0,0,0
+,6332,1084,7485,2290,8180
-,1141,0,0,0,0
+,9473,6342,8045,9893,6120
+,7093,4762,9762,3513,1636
+,9632,6262,1498,5998,4265
+,3413,5725,7044,3688,6836
-,5261,0,0,0,0
-,1328,0,0,0,0
+,2426,924,4839,778,7050
-,6672,0,0,0,0
-,1357,0,0,0,0
+,2385,3,6141,4085,1338
-,7893,0,0,0,0
-,562,0,0,0,0
-,1734,0,0,0,0
+,872,120,9637,6449,2791
+,1416,6497,2558,399,1238
+,9367,7796,9801,2013,8802
-,3712,0,0,0,0
+,746,45,6976,1570,6031
+,9560,4812,9284,9811,5691
+,5148,8456,3726,9340,2685
+,524,6555,984,1596,1497
-,3672,0,0,0,0
+,2243,6085,1135,7142,8031
+,9023,2249,2237,2945,9631
-,4587,0,0,0,0
+,1223,1730,1596,2271,9071
-,1681,0,0,0,0
+,3431,5293,6149,3642,8737
+,1894,4736,4630,4056,8345
+,7267,8394,7096,2276,6672
-,4539,0,0,0,0
+,45,5490,595,6817,8151
-,3408,0,0,0,0
-,1152,0,0,0,0
+,3552,1141,7120,1994,6168
-,6446,0,0,0,0
-,3547,0,0,0,0
+,0,1504,5350,6853,8203
-,844,0,0,0,0
+,727,3398,4492,8894,3078
-,7202,0,0,0,0
+,8485,7164,6223,9758,2428
-,1512,0,0,0,0
+,3904,205,6804,6281,5342
-,4343,0,0,0,0
+,594,3608,7526,5320,6813
-,288,0,0,0,0
+,9295,1848,114,4023,2521
+,8344,6315,2118,8708,1614
+,714,8741,6018,8558,4017
+,2908,9623,3837,3458,6668
+,5779,9186,5614,2031,9238
-,5759,0,0,0,0
-,5935,0,0,0,0
-,1483,0,0,0,0
+,5033,808,9694,5104,7313
-,5429,0,0,0,0
+,2596,6097,7635,4366,4644
-,4134,0,0,0,0
-,3065,0,0,0,0
+,2911,8510,8532,3401,2687
-,4804,0,0,0,0
-,1694,0,0,0,0
+,7034,626,8242,4879,1064
-,1922,0,0,0,0
+,25,8630,5167,3640,9328
+,7781,6976,8828,9012,4687
-,3339,0,0,0,0
+,33,5110,5942,1449,1481
+,2413,4203,2017,4173,9475
+,9853,9713,891,3832,5919
+,2383,9505,6182,9059,2904
+,2478,3306,5017,2825,7959
+,4214,2557,534,987,226
-,6383,0,0,0,0
+,6865,242,9130,7277,4981
+,621,4645,2548,1057,8977
-,5911,0,0,0,0
-,4544,0,0,0,0
-,7402,0,0,0,0
-,2849,0,0,0,0
+,1639,1764,502,7276,3515
+,5373,8041,9460,3032,6301
+,1844,4960,683,1819,861
-,5389,0,0,0,0
+,2768,9269,1241,6273,6445
+,971,1677,3779,3545,1438
+,1512,9731,3432,1785,2945
+,3514,4296,2896,9955,1044
+,2440,6748,3014,4531,8804
+,4980,2915,1730,70,3673
-,2783,0,0,0,0
-,2725,0,0,0,0
+,4779,4690,349,595,646
+,1364,6336,3533,8721,52
-,2270,0,0,0,0
-,2576,0,0,0,0
+,3478,4624,2394,7638,9896
+,4718,3308,940,1499,3952
+,4129,522,7429,1073,8554
-,1566,0,0,0,0
+,5678,5940,8808,2295,1699
-,1260,0,0,0,0
+,3672,8329,1035,3696,4270
-,7596,0,0,0,0
-,7069,0,0,0,0
+,1564,734,2639,644,3404
+,6123,9136,4311,6492,4474
-,6787,0,0,0,0
+,6604,6808,2621,5979,5725
-,640,0,0,0,0
-,1525,0,0,0,0
-,6382,0,0,0,0
+,4204,7557,2221,8797,4150
-,7218,0,0,0,0
+,8201,7143,1466,5339,2870
+,5549,2214,31,7365,4706
+,5186,3208,6553,9139,8217
+,3443,9437,2555,7357,7012
+,8023,6228,9873,4434,2191
+,2944,4466,9750,1707,8675
+,6908,4182,5557,1720,9540
-,605,0,0,0,0
-,3099,0,0,0,0
+,6151,5774,5662,6224,8458
+,635,915,2957,6021,2802
+,888,3003,5502,5655,1312
+,1565,6107,9286,8461,7570
+,1001,9519,9346,8206,2069
-,5414,0,0,0,0
-,6745,0,0,0,0
+,5594,9833,4277,7198,4603
-,4743,0,0,0,0
-,1109,0,0,0,0
-,4451,0,0,0,0
+,4211,1993,3108,1466,9830
+,7226,7337,159,1300,7328
-,1695,0,0,0,0
+,3019,4727,3435,3286,3060
+,9626,9785,2070,8971,2750
-,3825,0,0,0,0
+,5531,8001,5763,8257,9019
+,1868,9254,8859,6896,1414
+,8591,2618,4453,82,8445
+,8234,5731,9806,8913,4585
-,7099,0,0,0,0
+,3812,1319,3504,5140,3030
+,3181,8085,3472,5976,6584
+,742,6614,5192,356,1586
+,7216,5673,4654,5300,8782
+,3974,8045,1427,4294,2630
-,1645,0,0,0,0
+,4598,6474,309,4303,9578
+,4826,4614,9105,4769,1179
+,1310,1788,3603,6832,8297
+,811,8541,5777,1453,9514
+,751,7148,7698,8630,7148
+,5558,4054,6114,6274,106
+,819,1762,7146,8971,1332
+,1379,5442,9186,7614,2080
-,4596,0,0,0,0
+,1222,8596,4180,5445,8165
-,2410,0,0,0,0
-,3985,0,0,0,0
-,3157,0,0,0,0
+,2897,6765,2434,1130,6073
+,8255,8417,7097,1491,5313
-,2063,0,0,0,0
-,2560,0,0,0,0
-,2269,0,0,0,0
+,8742,2468,111,869,7404
+,6928,2712,6224,4021,8142
-,698,0,0,0,0
-,6890,0,0,0,0
+,6208,8352,4697,4440,7093
+,8590,9630,7011,5391,8575
+,1349,359,1194,8557,5598
+,300,3866,1992,1226,6172
+,6400,2185,1134,676,725
+,9571,1081,6804,2911,7657
+,5834,4915,5077,1375,8663
+,3951,7394,941,6167,5051
-,6616,0,0,0,0
-,3956,0,0,0,0
+,2754,6140,3056,3067,1324
-,6582,0,0,0,0
-,7811,0,0,0,0
+,448,2516,139,3938,1798
-,5259,0,0,0,0
+,6508,9617,7626,1357,5983
+,1552,8309,3788,4268,6939
+,3114,8708,3473,7257,8241
+,8825,4976,6569,3866,939
+,3355,2300,1619,709,5535
-,4910,0,0,0,0
-,5915,0,0,0,0
-,5946,0,0,0,0
-,3456,0,0,0,0
+,4527,8977,341,6138,7585
-,4246,0,0,0,0
+,5833,7822,8525,177,3627
-,7860,0,0,0,0
+,9355,2116,2457,9646,5688
+,4603,9141,3608,3660,467
-,6757,0,0,0,0
+,1297,5225,881,935,4825
+,1170,4099,7762,5723,4012
+,2650,2979,934,1163,9350
+,5125,7507,5744,8984,1884
+,1039,2623,9203,8922,6517
+,2382,84,6204,1412,4848
+,1240,8922,338,2372,4128
+,5209,732,1600,8146,914
+,1146,1629,9551,9353,693
+,1132,4628,1005,8937,5821
-,4421,0,0,0,0
-,5616,0,0,0,0
+,7530,9532,2139,9538,8908
+,3516,4285,9716,2579,5860
-,4427,0,0,0,0
-,6931,0,0,0,0
+,9383,4721,2095,314,8283
-,1823,0,0,0,0
-,414,0,0,0,0
-,3154,0,0,0,0
+,5507,109,1238,9625,6977
+,3982,3046,4365,1722,9358
-,5912,0,0,0,0
-,2721,0,0,0,0
+,27,1349,8535,7767,265
+,3425,555,5597,6155,4507
+,1946,2133,4158,9759,667
-,1945,0,0,0,0
+,8675,1914,8425,4467,1414
+,7794,1921,3513,6423,871
-,3749,0,0,0,0
+,7526,2127,1804,7038,8454
-,4877,0,0,0,0
-,5106,0,0,0,0
-,6454,0,0,0,0
+,7091,6172,4834,4351,6510
-,6991,0,0,0,0
-,7964,0,0,0,0
-,1066,0,0,0,0
-,7756,0,0,0,0
-,5884,0,0,0,0
+,2403,4992,1520,8575,1664
+,4339,988,5688,5490,8755
+,7392,9990,9749,9648,8661
+,9690,8944,574,7519,3061
+,1495,8588,9381,2611,7828
-,1869,0,0,0,0
+,8202,7102,1556,3433,4882
+,2826,5992,2117,4633,1947
+,6907,8020,8336,1094,8232
-,5233,0,0,0,0
+,8865,3791,9833,4057,815
+,8796,866,6491,8419,3328
+,2041,1764,5112,2787,9832
+,2549,6322,3795,7624,5275
-,6574,0,0,0,0
+,6534,9851,6281,6373,7158
-,2799,0,0,0,0
-,669,0,0,0,0
+,6380,9380,1719,484,7098
-,4847,0,0,0,0
+,1116,7909,7956,8772,3544
-,3729,0,0,0,0
+,135,2290,1586,820,6707
+,3704,4789,8308,8562,2340
+,4014,9162,979,9815,5969
+,7344,5551,1359,8315,9573
-,5242,0,0,0,0
-,4879,0,0,0,0
-,2668,0,0,0,0
-,946,0,0,0,0
+,8075,606,1074,6552,6117
-,994,0,0,0,0
-,2631,0,0,0,0
-,3534,0,0,0,0
+,4818,4526,3207,5437,2413
+,6328,8048,3807,8364,3394
-,1265,0,0,0,0
+,7012,22,2253,3791,9233
+,6452,4792,4254,9505,8957
-,4814,0,0,0,0
+,2500,2520,1584,6367,7830
+,6197,4204,1448,2042,4408
+,3068,705,1688,8258,6602
-,6704,0,0,0,0
-,3012,0,0,0,0
-,1622,0,0,0,0
+,6976,8022,9066,4966,9558
+,5187,9995,4861,4924,1010
+,1781,4141,7859,7849,2750
+,5492,8708,5731,4389,3452
-,7668,0,0,0,0
+,8668,8422,8483,8380,6124
-,486,0,0,0,0
+,7186,4772,3229,2282,4591
+,2237,9904,2208,5145,1782
-,6893,0,0,0,0
+,8655,3476,8386,7407,9186
+,9757,925,8685,1345,4103
-,7290,0,0,0,0
+,5101,2994,8053,2860,2171
+,5749,5663,8955,8249,5053
+,2566,9983,9010,7296,1957
+,661,9374,5845,6395,835
+,6080,2940,2517,5312,1572
-,7131,0,0,0,0
+,7764,9212,9248,5460,2888
+,139,4155,4007,599,2058
+,1831,8879,4004,3975,349
-,6799,0,0,0,0
-,2193,0,0,0,0
-,7205,0,0,0,0
+,5505,7530,1045,3992,8803
-,7861,0,0,0,0
-,929,0,0,0,0
-,1515,0,0,0,0
+,3367,6908,9284,8825,1372
+,3607,9007,8304,9428,6890
-,3166,0,0,0,0
+,8693,8665,9972,3285,6384
+,1856,5366,5273,35,4304
-,7689,0,0,0,0
+,213,1482,6748,2027,6874
-,4223,0,0,0,0
+,2970,1988,859,6905,3113
-,6015,0,0,0,0
-,1416,0,0,0,0
-,3119,0,0,0,0
+,6989,476,9192,7862,7395
+,924,4195,4617,1139,2297
+,7956,4567,4178,4254,2405
+,774,9763,1889,8939,9413
+,9838,4881,1917,9258,1079
+,3404,2898,1178,3470,9087
+,3839,9265,2267,2557,7701
-,4864,0,0,0,0
-,3234,0,0,0,0
-,347,0,0,0,0
+,9147,7203,5156,1700,958
+,1323,1087,2347,1556,7331
+,8811,664,5056,9565,324
+,9442,8237,9172,7486,3608
+,7249,8521,7695,2324,9884
-,2402,0,0,0,0
+,9300,7915,8431,6151,1680
+,8778,9742,2455,9874,4498
-,7864,0,0,0,0
-,1273,0,0,0,0
+,435,4599,3226,9621,5892
+,512,1311,1396,3669,3841
+,1756,1968,3169,8669,3731
-,4225,0,0,0,0
+,5620,5592,5568,3273,4553
-,6737,0,0,0,0
-,5536,0,0,0,0
-,5681,0,0,0,0
-,3696,0,0,0,0
+,4740,9774,5228,4461,8560
-,6721,0,0,0,0
+,1742,8338,1692,5181,6501
-,3137,0,0,0,0
+,3641,5208,8392,7332,3073
+,9715,7460,3309,7163,2660
+,1604,9576,7363,9246,5234
-,7073,0,0,0,0
-,2351,0,0,0,0
+,2584,9231,7188,6320,3521
+,3525,4628,9953,6777,3504
+,3555,8148,8035,410,4070
+,1045,1447,942,4458,3701
-,7647,0,0,0,0
-,7035,0,0,0,0
+,5968,27,8420,4755,6145
+,5811,4147,1674,4792,1760
+,7327,4257,5609,4522,1443
+,8748,1646,1712,4627,5750
+,8665,5597,7687,7258,4230
-,746,0,0,0,0
-,3747,0,0,0,0
+,7997,1181,3299,6160,8996
-,1123,0,0,0,0
+,5739,8934,2440,1594,2802
+,62,679,4720,2343,9046
+,1934,7655,2943,3618,1490
+,6486,670,1443,2755,2255
-,6815,0,0,0,0
+,1076,67,7131,2287,4708
-,277,0,0,0,0
-,6493,0,0,0,0
+,6708,810,1296,6022,279
+,778,5492,3204,6463,3200
-,2972,0,0,0,0
-,4943,0,0,0,0
+,7968,5933,5576,1936,2623
-,4512,0,0,0,0
+,7462,3330,4325,9437,341
-,816,0,0,0,0
+,6926,7724,2378,2745,150
+,3131,7932,1487,1559,6612
-,5805,0,0,0,0
-,2022,0,0,0,0
-,5694,0,0,0,0
-,6123,0,0,0,0
-,7039,0,0,0,0
+,6243,2119,4362,9311,1329
+,1213,6121,7660,4335,8139
+,8282,7774,668,4031,8738
-,5432,0,0,0,0
-,841,0,0,0,0
-,3383,0,0,0,0
-,3377,0,0,0,0
+,7971,6270,4789,4701,8762
-,7355,0,0,0,0
-,3050,0,0,0,0
-,4338,0,0,0,0
+,2333,2746,1231,2615,2113
+,9995,3724,8470,2964,3500
+,2837,8916,4101,257,5398
-,7871,0,0,0,0
-,2558,0,0,0,0
+,615,1319,7961,9756,3863
+,4068,5534,8049,1643,2500
+,3182,1429,9798,9101,2059
-,395,0,0,0,0
-,547,0,0,0,0
-,7347,0,0,0,0
+,8521,8024,6510,1010,2247
+,5709,4948,2557,9170,2586
+,2682,9159,755,9240,9217
+,3590,8075,2414,8530,7772
-,7755,0,0,0,0
+,4682,5607,1016,3395,55
+,3644,1593,8252,7783,1595
+,8442,9998,1573,4863,4023
+,986,6908,5186,8315,5582
-,431,0,0,0,0
+,4096,6693,5003,6334,1651
+,1797,1899,6554,4696,9269
+,9716,2532,4901,3622,1349
+,3151,459,3667,5386,7462
-,5439,0,0,0,0
-,6485,0,0,0,0
-,7259,0,0,0,0
+,2892,3096,9882,2113,8307
+,6616,844,1519,8026,9728
-,6828,0,0,0,0
+,6108,4934,8921,3561,8904
-,722,0,0,0,0
-,1219,0,0,0,0
+,5599,2142,5213,6712,7390
-,5066,0,0,0,0
-,5946,0,0,0,0
-,4731,0,0,0,0
-,4247,0,0,0,0
+,6387,4138,4886,3113,8527
-,1746,0,0,0,0
+,3924,3021,8287,276,709
-,4784,0,0,0,0
+,9942,8306,6524,8466,8037
+,5453,8833,6060,9475,5052
+,2777,9355,9064,2086,9449
-,7094,0,0,0,0
-,7755,0,0,0,0
-,5954,0,0,0,0
+,8850,7780,8480,5701,839
-,1438,0,0,0,0
-,7483,0,0,0,0
+,8911,8354,6851,8557,7420
+,8789,3859,5705,3219,8254
-,73,0,0,0,0
+,3855,3142,2869,6141,7450
+,9410,1025,5838,2061,2169
-,6541,0,0,0,0
+,5601,5478,3526,553,5934
+,8060,8694,4512,1251,5909
-,6346,0,0,0,0
-,1163,0,0,0,0
+,3877,812,977,938,9500
+,8295,5148,9343,2481,2991
+,8531,2347,8330,769,1675
+,9780,2539,394,2840,5776
+,3439,7598,8098,5967,1651
+,2905,8406,5358,4255,3938
-,7060,0,0,0,0
+,7698,8268,553,3511,9133
+,2835,3514,8810,6073,5524
-,3505,0,0,0,0
+,8767,7884,4476,4956,7202
+,4746,4123,2248,7296,9389
+,9547,154,4898,6312,2960
-,5019,0,0,0,0
-,1542,0,0,0,0
-,3634,0,0,0,0
-,1071,0,0,0,0
+,4504,1934,4773,4773,9901
+,9262,3947,4636,1584,4363
-,4403,0,0,0,0
-,5257,0,0,0,0
-,2104,0,0,0,0
-,3986,0,0,0,0
-,5590,0,0,0,0
+,1481,7521,3097,6930,75
+,4409,3021,5839,3361,5083
+,5898,7396,947,752,8817
+,576,4904,3668,8707,1007
+,8354,6950,5416,1806,31
+,9943,6444,2383,1122,416
-,364,0,0,0,0
+,9952,5056,1111,3055,3424
+,6306,831,5906,6527,9155
-,66,0,0,0,0
-,2008,0,0,0,0
+,2629,4288,5694,6079,6357
-,6855,0,0,0,0
+,6048,7936,1506,3159,4806
+,7937,8497,1330,6455,1318
+,4809,8257,372,2684,3612
+,1259,747,7399,6144,4853
+,6045,2904,1599,1158,5562
-,7714,0,0,0,0
-,3228,0,0,0,0
-,4483,0,0,0,0
+,6241,6336,6527,284,1733
-,4564,0,0,0,0
-,3610,0,0,0,0
-,2596,0,0,0,0
-,5308,0,0,0,0
+,6234,7389,3844,4837,3369
-,7355,0,0,0,0
+,7384,9844,7532,6740,1826
-,1065,0,0,0,0
+,4240,6873,2260,167,1855
-,2549,0,0,0,0
+,9511,8000,8929,3369,3232
-,2282,0,0,0,0
+,8551,977,8588,4726,8443
+,8365,1387,8507,4806,1908
+,1422,8691,481,6552,15
-,521,0,0,0,0
+,3517,1694,9098,6917,5668
+,6201,1334,2989,5695,8572
-,3248,0,0,0,0
-,5115,0,0,0,0
+,1249,8752,5693,1465,7299
+,5294,9832,7454,6759,1054
+,9249,3621,3703,6170,4460
+,7551,9001,5621,6597,1819
+,9004,7474,5996,2766,3781
+,473,8768,6575,8899,1361
+,1920,2590,7231,4652,4095
-,4581,0,0,0,0
-,2838,0,0,0,0
+,5296,9066,6965,4385,2941
+,2131,8331,8951,7387,5743
+,5580,3864,8101,7353,2982
-,4490,0,0,0,0
+,404,2350,2105,2168,6481
+,4763,7154,9195,2905,7397
+,7782,3311,8269,8978,4836
-,1311,0,0,0,0
-,791,0,0,0,0
+,3691,1789,6379,308,4236
+,3363,4388,2638,2501,8990
+,9431,7078,2215,8547,5763
+,2280,7598,8496,7593,9765
-,6144,0,0,0,0
-,4920,0,0,0,0
-,6881,0,0,0,0
-,2442,0,0,0,0
+,8111,1436,2772,3294,8450
+,4541,1602,2844,5310,6228
-,5085,0,0,0,0
+,7188,2923,2899,6657,3949
+,4944,8353,8897,4842,2917
+,477,4090,8922,5052,5763
+,9723,193,9576,9283,9812
-,7406,0,0,0,0
-,6156,0,0,0,0
+,424,4903,888,9704,6119
+,4790,2216,6504,2696,243
+,2863,379,7935,5568,7433
-,6320,0,0,0,0
-,3566,0,0,0,0
+,6991,9803,9531,650,626
+,1429,5562,8891,9312,9819
+,9378,4160,7013,3266,1279
-,4822,0,0,0,0
+,5260,2723,9512,6311,2856
-,467,0,0,0,0
+,2272,764,7008,7466,3627
-,4886,0,0,0,0
+,4720,9774,315,4106,3880
-,4750,0,0,0,0
-,563,0,0,0,0
-,2967,0,0,0,0
-,4854,0,0,0,0
-,5842,0,0,0,0
-,1459,0,0,0,0
-,2796,0,0,0,0
-,6098,0,0,0,0
-,355,0,0,0,0
-,7535,0,0,0,0
-,2768,0,0,0,0
-,6763,0,0,0,0
+,1224,8627,1418,9995,511
+,3097,2570,1284,745,6112
+,1350,4799,3555,1902,4827
-,2500,0,0,0,0
+,4413,8780,5844,664,2523
+,2127,6602,1783,5502,8046
+,1062,2970,4596,1779,7858
-,4844,0,0,0,0
+,3001,2640,3682,7907,9112
+,5029,7081,753,550,9921
-,5756,0,0,0,0
-,1235,0,0,0,0
-,5873,0,0,0,0
-,3979,0,0,0,0
+,4050,4041,6750,1831,467
+,7987,2357,8016,9206,1249
+,9334,8053,6505,1595,6568
-,7819,0,0,0,0
+,362,959,8341,9862,6571
+,6765,1589,7877,3252,2941
-,7648,0,0,0,0
+,8992,8993,2416,3736,2496
+,2683,2715,9917,5927,505
+,627,2401,6863,1950,8428
+,2409,8240,7002,2000,907
-,410,0,0,0,0
+,2347,9716,7460,343,8122
-,2534,0,0,0,0
+,310,889,8443,7021,8089
+,2231,6562,7044,2344,4535
+,7143,2800,9928,3165,1433
+,9693,3120,564,9457,485
-,7532,0,0,0,0
-,2857,0,0,0,0
-,1921,0,0,0,0
+,5920,1231,4716,1525,2818
-,3383,0,0,0,0
+,5629,6968,8892,7029,4092
+,2743,4929,5564,2669,3831
-,3068,0,0,0,0
-,6573,0,0,0,0
-,2728,0,0,0,0
-,2901,0,0,0,0
+,8913,640,8691,3423,5480
-,1779,0,0,0,0
-,6844,0,0,0,0
-,6468,0,0,0,0
-,6099,0,0,0,0
+,9712,2897,6411,7510,7823
-,4270,0,0,0,0
-,4838,0,0,0,0
-,3187,0,0,0,0
+,5816,2714,5730,225,7385
-,6848,0,0,0,0
+,574,3836,6710,1760,8747
-,4833,0,0,0,0
+,1933,8098,551,3603,2407
+,2565,3985,524,7653,5652
-,6156,0,0,0,0
-,6575,0,0,0,0
-,6463,0,0,0,0
+,4805,5187,5680,8801,5554
+,3721,4651,6649,6805,8731
+,9570,2338,8659,8097,7978
+,8523,8939,6976,887,69
-,235,0,0,0,0
+,2316,647,6374,4682,1081
+,1755,3620,5197,6551,7679
-,4756,0,0,0,0
+,9770,8542,4162,4970,1969
-,3139,0,0,0,0
+,7182,6295,5221,1569,1771
+,8744,8184,3244,6389,9089
-,6970,0,0,0,0
-,2464,0,0,0,0
+,7502,6384,3609,4697,6305
-,6537,0,0,0,0
+,3984,9675,3184,431,8388
+,8948,4812,8614,5052,6510
+,431,7374,8682,3894,3802
+,5514,2258,9951,404,5245
+,2585,5226,9043,3075,2411
-,1654,0,0,0,0
-,1331,0,0,0,0
