OP,A1,A2,A3,A4,A5
-,32,0,0,0,0
-,655,0,0,0,0
+,1806,706,604,668,4411
+,3405,2742,1818,2087,3712
+,1429,3168,1693,720,3056
+,3742,4118,2788,174,1716
-,457,0,0,0,0
+,3228,574,2010,4031,1122
+,2455,1297,3803,4739,4483
-,125,0,0,0,0
+,4899,4651,3553,2707,3730
+,4790,2425,1311,654,4384
-,938,0,0,0,0
+,4888,405,4553,3581,1938
+,2464,1147,4370,1299,229
+,1782,4586,2339,1097,1701
+,1651,142,458,543,1987
+,4963,4417,3808,2926,2111
-,162,0,0,0,0
+,3421,2057,2426,61,4287
+,1474,4353,4755,2569,4626
+,195,89,2767,3241,835
+,2394,1497,659,1336,366
-,980,0,0,0,0
-,419,0,0,0,0
+,4455,2757,3463,1386,2328
+,4772,3956,3298,1358,3542
+,2266,4140,1859,3971,3477
+,3301,2606,1962,4275,3035
-,749,0,0,0,0
+,2731,2438,3425,907,1962
+,2366,4897,3666,4318,177
+,205,1843,1215,3911,2965
-,958,0,0,0,0
+,2212,2025,2721,3696,1438
-,484,0,0,0,0
+,397,2154,4925,493,945
+,4038,1271,4759,2010,4988
+,24,4945,327,762,3592
+,157,3127,1631,2180,4328
+,4951,3713,3163,2845,1518
+,3343,1174,4080,645,4159
-,713,0,0,0,0
+,510,3989,1478,1833,1090
+,1488,3695,80,1607,1985
+,3725,400,1327,2616,4122
+,2486,1820,3038,1720,2508
+,4366,1224,2829,4237,4276
+,3506,1010,1345,3817,2036
+,418,797,4557,2607,3573
-,568,0,0,0,0
+,3197,2496,3096,4704,972
+,2618,7,2802,3904,43
+,2014,906,268,2682,1782
+,2253,382,2529,2321,2123
+,3150,4386,1517,2831,3684
+,983,1911,2671,1951,828
+,2875,3293,577,1909,4316
+,1117,420,3734,1094,2873
-,515,0,0,0,0
-,10,0,0,0,0
-,929,0,0,0,0
+,1395,3349,1205,2813,1420
-,629,0,0,0,0
+,3240,4484,4417,192,1156
+,3668,3291,3837,288,4993
+,3482,1391,3795,4345,3794
+,4591,206,588,3199,2109
+,4048,4922,3644,581,2570
-,884,0,0,0,0
+,4165,3162,3419,2428,1416
+,1862,116,1928,711,4851
+,1766,2266,3158,3113,2146
+,4801,689,2610,1752,3120
+,3042,3485,2955,3025,137
+,4885,4792,2008,843,839
+,1377,1263,921,1565,1386
+,3023,238,4897,4189,2212
+,1797,2157,3938,1894,527
+,3562,4559,3035,673,2624
+,4692,1177,2985,2577,1803
+,4362,3027,74,2454,3527
-,419,0,0,0,0
+,3786,738,1320,4700,3050
+,4221,1987,2218,2901,1264
+,4085,4560,4722,158,1279
+,4927,4824,2166,572,4310
+,4588,1999,4570,2344,2239
+,2216,3211,4799,1026,358
-,286,0,0,0,0
+,3165,3103,3523,2200,3287
-,71,0,0,0,0
+,4831,3453,2850,3119,1227
+,3002,4307,2552,311,4151
+,4623,2653,3846,3992,101
+,3871,2531,2673,4311,1108
+,4333,3684,1926,1978,4407
+,3537,2818,1888,2868,620
+,84,3832,4781,3998,3488
+,4464,2762,438,3616,2975
+,3887,4047,3179,4428,2174
-,473,0,0,0,0
-,744,0,0,0,0
+,777,230,866,1688,3746
-,176,0,0,0,0
+,2085,3876,241,2872,1186
+,4993,1009,4197,1398,2523
+,1197,983,355,2489,120
+,950,1299,690,2316,4292
+,3844,3646,2592,3220,2466
+,547,1109,319,940,2435
+,861,4594,619,1527,3498
+,1,1343,2225,2369,4250
+,4670,757,554,3885,4075
+,2604,3015,4172,1092,206
+,2224,4370,3562,4625,1370
+,703,4028,4277,3494,4116
-,597,0,0,0,0
-,774,0,0,0,0
+,493,4793,4027,1173,1909
+,3918,1554,1755,3750,2375
+,54,4690,1287,305,1475
+,1182,467,4527,3937,2586
+,3366,1697,402,4696,1943
+,3439,4322,2630,935,406
+,3837,943,120,760,4036
-,173,0,0,0,0
+,487,1634,4435,1048,373
+,2245,3838,3759,1641,4048
+,1097,402,2715,4450,2213
+,4195,1737,1694,4235,1720
+,3769,1044,1059,596,586
+,1390,1032,4956,2992,1171
+,3495,4870,1789,3766,1568
+,1001,662,4734,4892,4296
+,3941,2411,3561,557,4565
+,3384,2282,50,1427,2684
+,4185,3405,2128,3755,4120
+,723,1549,3151,859,2120
+,639,157,4131,89,416
+,3563,3372,3675,4121,1504
+,3102,653,4340,2416,1125
+,1948,3853,4094,2292,4848
+,3776,895,3645,2150,3512
+,4736,120,3253,4945,2781
+,456,2563,4843,3865,4775
+,4265,2084,3344,277,2301
+,2595,417,3958,688,4664
+,2190,2934,4951,2901,523
+,3040,1872,3805,1010,3973
+,2757,4484,2731,2220,2672
+,1747,106,602,1331,3954
+,2893,3230,3704,4352,4180
+,2327,767,1988,4266,1054
-,392,0,0,0,0
+,133,260,3719,437,279
+,2646,3225,1281,4007,2481
+,2969,175,1713,3092,1642
-,481,0,0,0,0
-,565,0,0,0,0
-,602,0,0,0,0
+,846,303,4756,1336,292
+,554,4189,1306,2107,1286
-,235,0,0,0,0
+,4267,4200,1362,2949,1324
+,2165,2687,3257,3616,2625
+,4000,2447,1848,2932,98
+,4979,4903,99,3195,3462
+,1240,3608,3611,196,4352
+,4357,2257,417,2741,1153
+,3580,4987,4252,4142,878
+,833,4088,811,2085,4583
+,1184,2754,1247,4835,3927
+,960,4747,4316,244,4339
+,1142,2750,2196,2955,480
+,3268,1452,4601,4713,3179
-,700,0,0,0,0
-,757,0,0,0,0
+,4934,520,4094,148,4483
+,2605,2676,2228,3775,3869
+,2016,398,4057,4769,1848
+,4059,2777,2470,2589,3174
+,3593,1846,2517,2577,1758
+,2550,483,2702,414,1283
+,2282,3441,1791,310,4832
+,459,1825,3880,3182,2123
+,4633,4757,1265,1744,2067
+,1773,2385,3476,2252,4012
+,1985,1095,2398,744,3119
+,2942,3635,2672,3370,1245
-,565,0,0,0,0
+,4030,4966,2942,949,2430
-,665,0,0,0,0
+,673,1470,155,179,1788
+,4997,3287,1561,3509,295
+,1700,3205,65,3508,1677
+,280,2368,4131,2902,3614
+,2907,4630,354,789,4685
+,1393,2589,863,1184,3733
+,424,4511,4707,491,2822
+,2887,4020,4686,4378,1939
-,162,0,0,0,0
+,1069,1323,3013,1640,3688
+,4579,4477,4768,2465,1205
+,558,4516,401,3238,2406
+,842,2144,3701,3845,150
+,2563,772,558,437,2157
+,1339,2893,780,4389,2779
+,4488,4029,4998,2221,3340
+,3777,527,4451,4118,4573
+,3773,3890,1444,568,4328
+,1787,1676,1709,1179,2248
+,2608,1991,3008,3313,411
+,363,4407,833,3261,2644
+,2742,4355,699,2417,550
+,310,1814,409,3137,1900
+,2226,4841,357,1490,1435
-,674,0,0,0,0
+,2752,1505,259,4878,3597
+,1015,4590,2897,1817,4197
+,3011,1514,1670,352,811
+,2419,4958,4915,109,2081
+,3058,4664,368,1860,4825
-,826,0,0,0,0
+,1645,1908,2452,4901,2649
+,3515,2654,366,4258,2540
+,872,1071,393,4969,3944
+,4615,2265,4388,799,2291
-,818,0,0,0,0
-,912,0,0,0,0
+,1282,907,981,3545,3071
+,2243,1551,165,1078,2002
+,1625,58,2586,3780,2893
+,2213,2691,3964,4780,2165
+,485,1768,2262,3522,3262
+,3933,299,4839,1580,397
+,4396,4783,4786,4680,2800
+,4889,458,1665,59,4162
+,4737,2922,1029,2836,2268
+,4533,237,3896,1353,1055
+,354,2429,1953,4364,656
-,485,0,0,0,0
+,3404,23,1206,976,2629
+,515,1855,2912,4037,3533
+,2825,313,570,4937,2755
+,1743,1590,271,4111,528
+,2254,978,4467,762,4292
-,255,0,0,0,0
+,625,858,1213,4201,4137
+,4726,4713,3437,1729,803
-,915,0,0,0,0
+,1607,4978,1069,1640,2349
+,1867,338,2770,392,1888
+,1942,1343,1560,22,4900
-,294,0,0,0,0
+,4652,3825,2444,2040,1843
+,1734,4705,2663,557,4417
+,3664,4206,4126,2914,2767
-,678,0,0,0,0
+,2130,1759,3369,1748,3229
+,1618,796,4229,78,2870
+,2542,2787,3356,4031,3996
+,1203,3757,1680,3198,3849
+,894,728,4442,4397,3795
+,592,3503,4758,398,491
-,986,0,0,0,0
+,2357,2339,3570,211,4999
+,1688,2619,1613,1385,1104
+,1990,1154,4987,253,433
+,4968,2190,4252,437,4172
+,4356,4421,1604,4223,2093
+,3560,3669,2574,679,1271
+,3998,4334,2761,3329,801
+,2440,130,3932,4140,3178
+,4675,1051,4846,3628,1152
+,1091,2949,113,2549,1155
+,2983,4784,1328,4456,1242
+,646,2701,628,3664,1276
+,2182,4928,4169,2306,3983
+,680,4697,3025,1886,3685
+,1288,3871,3401,1983,3207
+,1358,943,3884,2004,4681
+,1434,4761,1031,1882,794
+,1319,2035,2004,1046,953
+,4421,3648,2562,732,585
+,4229,1317,90,3237,2759
+,127,1169,1161,1649,3343
+,1350,4814,2441,4132,4940
+,4509,1987,2115,4891,1687
+,3271,2035,2739,3007,3251
+,2054,2649,4390,1307,4332
+,3654,3500,2091,2097,4848
+,892,454,3481,4790,1970
+,2155,3887,2334,4268,1580
+,1702,4502,3041,1300,265
+,1668,4900,1240,683,793
+,3492,1387,4720,4945,2460
+,4133,3770,862,4809,4053
+,311,4466,3588,2232,416
+,2013,1873,4914,4753,1263
+,3858,795,325,2513,2564
+,910,1696,3113,2581,3453
+,2759,1333,2547,2394,2962
-,680,0,0,0,0
+,4769,802,2510,4753,3027
+,432,2814,1339,4236,3872
+,4446,2490,4833,2619,1662
+,4800,976,3864,1182,1968
+,648,2742,55,1792,3470
+,1447,4115,4014,526,469
-,35,0,0,0,0
+,2741,2221,2083,4861,2372
-,963,0,0,0,0
+,2481,2406,814,3538,3178
+,595,859,4226,3663,2900
+,3196,4026,3772,1061,3878
+,3334,2612,82,4442,3674
+,3915,3208,3704,1803,836
+,4881,3726,2850,2894,2518
+,2833,3781,4798,1464,4124
+,1145,4023,2567,3372,4833
+,2931,3014,4617,3507,2564
+,3125,28,1419,4922,2082
-,90,0,0,0,0
+,4844,1333,3635,460,3998
+,406,3349,1156,1369,2137
-,93,0,0,0,0
+,3060,3779,2366,4393,3256
+,888,2052,413,4939,2732
+,4786,1107,1428,3636,3281
-,331,0,0,0,0
-,261,0,0,0,0
-,117,0,0,0,0
+,3425,4921,1948,852,3181
-,890,0,0,0,0
+,1450,265,846,1833,681
+,1635,2001,195,4749,4107
+,4884,918,3002,4876,439
+,739,2799,293,1503,1753
+,1337,254,3177,2958,4398
+,4649,4720,1260,1945,2024
-,242,0,0,0,0
+,1685,128,2571,982,340
-,757,0,0,0,0
+,4426,4406,2908,917,770
+,2834,4907,3858,2195,320
+,2978,2506,4894,1087,3212
+,1456,1668,4126,2723,4898
+,1010,591,3747,1414,906
+,3522,2713,3548,2414,3653
+,4116,3625,1426,4161,605
+,4066,459,1830,4110,4819
-,853,0,0,0,0
+,559,4535,4436,1029,1396
+,4953,347,4899,4411,222
-,468,0,0,0,0
+,2641,2060,3249,1752,464
+,2458,1949,946,1415,2391
+,1515,2497,2790,4331,4316
-,144,0,0,0,0
-,832,0,0,0,0
-,589,0,0,0,0
+,3544,3406,2956,1669,246
+,618,3365,1069,1582,3002
+,959,2227,4043,4788,1664
+,1791,1495,1030,2843,3050
+,1939,2104,1010,4361,4942
+,2473,2252,1538,1384,1655
+,319,4620,4696,3080,4949
+,2451,1167,700,4634,1891
-,891,0,0,0,0
+,1711,105,1083,200,2588
+,3961,4432,2893,13,1348
+,4212,2906,3168,1069,742
+,622,2179,1462,1424,437
+,2956,4005,2525,358,4769
-,269,0,0,0,0
-,391,0,0,0,0
+,1503,1787,4024,2107,2282
+,3585,1049,3737,3883,1896
+,2385,4628,421,2959,3467
+,4556,4494,4082,4797,178
+,207,1100,311,3988,796
+,3763,3112,2845,2706,2453
+,477,3473,506,223,3108
+,3049,3858,935,4224,669
+,4933,4742,1381,1178,4995
-,659,0,0,0,0
+,4430,2324,671,4018,1070
+,2304,3195,4819,2095,1230
+,890,1254,326,4223,3204
+,1295,2440,2810,4600,4107
+,2484,4576,3304,2585,3512
-,924,0,0,0,0
+,2172,1955,3427,2281,4226
-,769,0,0,0,0
-,596,0,0,0,0
+,2916,3295,3753,3071,737
-,520,0,0,0,0
+,623,59,3796,1042,1498
+,4563,1796,2061,2544,2242
+,471,2577,3165,3794,1086
-,640,0,0,0,0
-,121,0,0,0,0
+,2111,2625,4524,1635,3970
+,893,871,4516,2080,4737
+,1372,4195,2657,1114,992
+,4448,1039,161,1490,2275
+,4422,2952,2608,1247,3228
+,1017,774,4279,1741,1421
+,4795,2668,4468,2112,1004
+,2102,378,2834,966,765
-,209,0,0,0,0
+,4678,4616,1187,4687,1157
+,2112,1110,4108,2609,2651
+,619,98,2719,1496,501
+,1132,1623,2843,4047,3511
+,3880,346,1117,4516,3085
-,800,0,0,0,0
+,3332,2251,560,630,711
+,2694,500,455,434,3940
+,2995,2818,2051,3422,3282
+,2294,3182,3541,1100,4900
+,2057,2179,704,3942,2436
+,3243,2726,3228,2269,1758
-,112,0,0,0,0
+,4247,608,2939,994,3379
+,2153,4035,4966,2000,2171
+,239,2731,196,4466,340
+,766,631,1500,1594,856
+,4918,1254,2529,1667,345
+,2625,10,1897,3209,4496
+,4546,2374,3311,4277,2715
+,830,4728,1515,3880,4983
-,406,0,0,0,0
+,568,1488,2185,205,119
+,4436,2620,4398,1931,1096
+,3542,3681,3115,1980,3808
+,2570,4443,1970,84,1463
+,2301,4489,1475,4116,4338
+,1008,4081,80,4107,4257
+,1633,2988,3132,2121,4604
+,2258,1769,2339,4013,2964
-,507,0,0,0,0
+,4467,2872,2965,2073,2070
+,3488,2327,4650,3610,1086
+,2232,624,2434,4837,3592
+,4344,4595,343,702,1150
+,2590,4651,2095,4896,4805
+,1411,224,4450,3510,3531
+,1366,3701,670,2632,1149
+,3393,2971,1202,499,4248
+,191,1501,3407,310,3492
+,1600,1927,2168,4925,3511
+,501,2887,1183,4927,3755
+,2661,1053,371,2554,411
+,3208,3793,3685,2282,4470
+,83,207,3403,4050,807
+,856,3126,3026,77,1960
+,2717,4289,1692,3751,2978
+,2080,4353,2295,3036,242
+,812,3381,3418,473,3179
+,1279,4624,788,4874,1689
+,2792,706,1556,2922,2138
+,2387,4023,2711,1254,2886
+,1839,3215,2595,2988,866
+,560,1467,1483,1900,1633
+,2598,3224,2687,816,699
+,2845,362,25,875,3889
+,2664,2027,3512,4418,3921
+,683,4435,576,1099,1156
+,2442,1003,1707,870,2042
-,70,0,0,0,0
-,117,0,0,0,0
-,474,0,0,0,0
+,502,2233,4320,2045,3659
+,1003,1883,3484,1973,2750
+,1992,3888,3154,2476,335
+,3258,4981,1459,3307,1667
+,2666,2195,2889,518,3098
-,395,0,0,0,0
+,4564,2358,2738,2448,1112
+,401,4893,2376,2190,99
+,3888,3922,3344,3381,4154
+,2795,1149,632,2370,4172
+,4937,593,4885,2423,4568
+,4574,3509,3254,4928,4552
+,743,546,2111,3800,4315
+,3261,3619,316,1049,4765
+,1039,738,2477,4116,4434
+,4601,3952,376,4658,53
+,1521,2416,1049,3638,2945
+,1400,4721,1073,3483,2038
+,2276,4141,485,4559,706
+,3288,1748,3336,1227,4788
-,574,0,0,0,0
-,834,0,0,0,0
-,149,0,0,0,0
-,790,0,0,0,0
+,2857,3080,3878,3131,1570
+,4586,2509,934,4372,1772
+,4187,3751,2902,994,1936
+,1174,1384,1373,180,2891
-,565,0,0,0,0
+,2709,4007,1568,1636,1827
+,1722,2420,2736,2636,28
+,4480,287,1143,949,2817
+,102,4202,3620,4981,1876
-,340,0,0,0,0
+,688,2530,4652,2727,2167
-,184,0,0,0,0
-,191,0,0,0,0
+,4087,209,2679,871,4903
+,3106,2390,4984,2691,2583
-,768,0,0,0,0
+,104,2658,2332,3682,1521
+,4291,1824,2466,2114,2988
-,755,0,0,0,0
+,3422,3231,4072,4484,1068
+,2042,2202,2680,757,3635
+,4691,245,947,417,670
+,469,614,1206,1381,4214
+,3079,1268,994,4647,2636
+,3198,601,1596,1699,170
+,2539,2621,3066,296,2396
+,2062,1428,3638,2492,1930
+,675,2227,1650,3141,969
+,4759,159,3153,616,1791
+,4453,2645,1899,44,3434
+,2136,719,1496,3993,1010
-,269,0,0,0,0
-,751,0,0,0,0
-,7,0,0,0,0
+,4241,3211,3022,1665,2671
+,1853,1990,2684,1762,376
+,4917,3483,945,1881,1516
+,409,4471,3000,211,1460
-,829,0,0,0,0
+,2721,433,3494,213,4046
+,299,3776,4463,762,2779
+,3078,32,2601,2272,662
-,911,0,0,0,0
+,3116,1402,3855,246,4814
+,2753,4409,3348,2952,2079
-,214,0,0,0,0
+,2214,1052,3953,585,4552
+,82,3320,499,3316,4144
+,1920,4454,3687,2389,4559
-,68,0,0,0,0
-,962,0,0,0,0
+,225,2444,253,29,1817
+,286,4405,1161,320,4927
+,153,1857,2656,4474,2526
+,3663,2691,3606,3899,788
-,150,0,0,0,0
+,1617,1192,3043,440,2422
+,904,1880,4567,2630,3880
+,4709,4133,1815,813,2505
+,1067,1040,4353,62,2224
+,1718,4792,4354,4579,2375
-,477,0,0,0,0
-,581,0,0,0,0
+,2653,1032,1371,3120,4988
+,566,3658,872,2771,4824
+,4996,290,3843,2713,2112
+,3143,4836,746,2047,2413
+,2363,3029,1863,610,3279
-,429,0,0,0,0
+,4179,4290,3260,4050,4245
-,25,0,0,0,0
-,277,0,0,0,0
-,992,0,0,0,0
+,3630,1782,2422,397,557
+,548,2033,2440,1538,2967
+,1864,2636,1167,1478,1499
+,3640,17,1024,2021,2018
+,1976,2151,1681,1230,1361
+,1269,3454,4044,151,2207
-,924,0,0,0,0
+,3701,642,4023,4610,2943
+,3679,1869,492,3455,3509
+,2823,1218,4734,2772,3559
+,2769,3206,1119,2462,3093
+,2065,2733,2515,1805,1184
-,165,0,0,0,0
-,829,0,0,0,0
+,721,2627,3386,2196,3758
-,242,0,0,0,0
+,793,69,1079,3616,4824
+,795,4585,2627,3929,39
+,4894,2999,3466,633,2080
+,3624,1344,4675,515,1142
+,305,3201,655,2833,90
+,2284,930,368,1411,1845
+,4626,478,849,2126,4441
+,1687,2761,1075,944,1679
+,786,344,1226,3802,3627
+,2479,3949,3161,994,1482
+,2242,521,287,2361,2899
+,0,4540,4945,1684,4180
+,1276,4778,3695,2608,1093
+,2334,3961,796,895,3824
+,2336,1010,2511,1075,3977
+,539,1312,4012,990,930
+,4858,4682,2496,1239,3514
+,1034,3277,2464,2843,4491
+,3450,2843,3943,1155,586
+,3237,2922,4548,4940,3495
+,2903,918,3295,463,4726
+,2676,3433,2569,4896,3065
-,250,0,0,0,0
+,1935,1618,4835,3718,2208
+,1256,2747,2839,3679,406
+,168,4552,1226,4500,4539
+,3429,1877,641,2740,3481
+,1532,2623,2951,4993,4682
+,4863,4815,3634,2370,2927
-,1,0,0,0,0
+,296,980,2796,2751,3219
+,4139,3757,4210,4827,4096
+,3156,154,1456,1309,3183
+,1420,4108,2484,780,379
+,2205,2983,3030,1649,2185
+,3409,105,3571,1020,4911
+,215,3011,4508,4565,3861
+,1934,488,3840,1606,1935
+,4161,3850,388,2099,583
+,1847,2848,1051,781,4643
+,4590,2323,2734,3469,2804
+,4082,4967,4663,602,2572
+,1513,41,2053,3539,2964
+,1459,2891,1518,3537,4487
+,4768,4381,2794,674,4076
-,778,0,0,0,0
+,1918,2614,2968,116,3378
+,3169,4127,2002,3364,641
+,427,1059,3544,42,3225
+,3008,3613,2345,2591,1327
-,965,0,0,0,0
-,823,0,0,0,0
+,292,2642,3838,3901,3274
+,2594,4769,953,2375,2123
+,4499,1700,3557,1707,3270
-,818,0,0,0,0
+,4766,4435,1098,250,2966
