OP,A1,A2,A3,A4,A5
+,6184,5703,5485,1270,8228
+,5601,1749,3061,4098,737
+,4892,6117,7482,5101,7920
+,2175,9755,9988,61,9422
+,6369,2355,7126,875,8171
+,6538,3825,7491,4879,5970
+,3067,3858,2700,7157,4675
+,8365,1034,1192,3504,690
+,1121,3290,7395,3509,2781
+,3204,1589,8462,4201,9488
+,7369,7605,9056,7868,503
+,3587,4174,8852,1942,9903
+,8459,9255,1825,1991,2608
+,5626,8213,1348,2561,7349
+,8763,8090,8097,1390,8783
-,792,0,0,0,0
-,305,0,0,0,0
+,897,5332,8283,6682,8664
+,2579,6618,7465,8369,2342
+,1616,8885,862,3152,7564
+,6254,8167,8042,2997,4859
+,7101,2258,2219,4301,3745
+,6566,4623,9274,7908,1621
+,9583,4137,4958,9185,5039
+,6073,8381,1018,9406,4353
+,5467,4551,1750,228,3284
+,5373,9586,1896,9272,5131
+,1064,5667,9273,4157,5906
+,9775,7123,7510,7849,4251
+,9074,3458,4001,8603,1684
+,3702,5676,7464,7661,626
+,1323,281,6471,6190,9903
+,2822,286,3230,5948,7928
+,8557,3456,4299,7298,5541
+,7607,9162,4707,6871,1267
+,8680,5894,7099,8320,726
+,1655,9318,9317,974,7757
+,3063,8027,2371,7492,5630
+,4887,2810,2070,7718,9879
-,301,0,0,0,0
+,2878,1223,3496,355,747
+,1496,4359,4011,8519,7969
+,1177,5004,8724,4521,4755
+,5825,6878,7367,585,4923
+,4193,4811,9266,4723,2104
+,938,8907,2197,1439,9068
+,4021,5843,1336,5459,5361
+,7846,1560,5181,8174,2236
-,100,0,0,0,0
+,6404,2987,1071,9048,7841
+,5125,9842,9507,73,2903
+,2313,4392,7768,4796,6406
+,4140,6771,7716,1584,4965
+,7409,1475,8369,9481,4629
-,790,0,0,0,0
+,7666,2116,3092,8668,6186
+,2800,8833,7574,3369,5998
+,235,8176,7694,7981,602
+,8837,7047,8905,9946,4102
-,881,0,0,0,0
+,7750,7936,1216,6587,5041
+,353,9984,5011,3528,1786
+,8731,9125,5678,6101,6036
+,781,5435,5308,7063,5706
+,6268,1912,2878,1383,6576
+,2531,6576,2624,2663,8396
+,460,6020,2354,9939,3649
+,2758,4150,2602,7784,3820
+,7590,3656,8579,6909,9598
+,7333,2777,2109,1747,8389
+,5552,5240,9180,5405,6104
-,50,0,0,0,0
+,4408,7108,5413,2040,4049
+,921,5908,6118,7546,8226
-,682,0,0,0,0
+,6623,2798,3500,17,7836
+,7668,2049,4040,4433,3590
+,3998,987,6139,6450,1079
+,735,3533,7429,1568,4013
+,2469,6923,2664,5735,4256
+,5275,298,9061,5631,2318
+,5316,4363,9426,3518,2391
+,5221,9964,8034,4662,388
+,2820,6513,8102,9168,3328
+,4550,9146,2311,3207,3290
+,7093,1880,6530,7287,1067
+,3053,5302,9557,2940,4986
+,8655,4,5335,9528,1582
+,9589,1127,7214,7500,5575
+,5267,6567,3876,378,9296
+,6947,2635,4007,481,8671
+,1109,7334,4020,1280,9609
+,9115,1241,2331,2752,2785
-,745,0,0,0,0
+,2644,9454,2276,7295,2758
+,7332,4549,8095,5892,62
+,6764,1046,1870,93,1451
+,7910,1881,9067,7994,1532
+,4533,4399,2857,9752,4633
+,8632,8328,5773,5256,3119
+,4692,6390,5955,9375,147
+,7313,1606,7438,4156,4716
+,2500,3537,590,9118,9915
+,8177,4909,2702,9620,6345
+,5404,2112,9978,7744,3517
+,7258,7791,1948,2104,5681
+,3004,3484,4836,7853,2148
+,9456,153,9373,2096,1422
+,5193,5032,4659,141,4056
-,660,0,0,0,0
+,6908,3635,4364,6610,6858
-,264,0,0,0,0
+,4686,3491,3993,3860,2719
+,5978,6752,4314,2156,1638
+,8949,7223,1195,9624,6604
+,3684,7949,587,575,4795
+,7319,5533,9621,3345,8221
+,7797,4796,380,9564,8253
+,3672,6908,2571,9347,2442
+,4950,1216,6911,7273,3266
+,7512,1995,4601,5780,3615
+,7530,3683,9371,1169,7734
+,1318,1165,259,5061,2996
+,2925,7838,2574,6557,465
+,3190,8394,2788,6337,638
+,4033,2976,625,1798,9848
+,5698,1424,4881,6500,5576
-,269,0,0,0,0
+,650,15,6927,4024,5371
+,5103,6904,3174,6413,8814
+,605,3784,9304,2183,8119
+,3445,2718,5334,453,4995
+,1336,9721,8837,5559,1562
+,2063,2791,3164,6142,1542
+,224,9384,9250,520,6041
+,572,4139,4910,6444,4713
+,1746,2076,3106,149,536
+,3836,9248,4297,7286,8769
+,4309,2518,586,8255,1598
+,7052,5816,5623,1035,9539
+,3619,4207,6432,2348,8404
+,328,1358,7426,9174,9593
+,3893,13,2476,1935,1366
-,744,0,0,0,0
+,6293,5345,9762,6516,9200
+,6949,6701,3862,8036,2609
+,6454,9406,2032,317,2071
+,4536,9313,4981,6366,7243
+,7697,2393,3827,4286,8351
+,3314,8624,7736,1865,25
+,8698,405,8945,6612,6834
-,157,0,0,0,0
-,356,0,0,0,0
+,8180,4076,5156,4101,899
+,4031,2428,1233,8661,2082
+,9464,9015,1313,4480,9949
+,1802,6725,2656,9570,242
+,3996,4808,6112,7520,91
+,8086,3202,3496,1275,9905
-,852,0,0,0,0
+,2891,2148,6774,6177,1523
+,4826,4931,3377,9930,7418
+,4907,7489,1515,4244,9080
+,7865,6761,5100,3607,6677
+,2232,55,8753,3539,9122
+,1847,7023,4032,3342,4651
+,5300,4921,757,7292,4321
+,6199,6874,9657,5696,9294
+,2833,8091,3522,2775,8018
+,4353,8842,6344,1756,1956
+,7802,4395,3948,2415,4050
+,8568,8926,2101,4921,5882
+,7064,774,3856,8602,6580
+,6257,5811,1731,8220,3692
+,5809,5808,918,6821,6989
+,5767,8513,3689,4233,4700
+,7719,3626,1117,8714,9618
+,1809,2939,7140,863,9356
+,2255,5172,4730,3870,8147
+,4546,6495,3788,3081,289
+,1267,853,2534,5085,2192
+,3611,2395,1469,4773,7211
+,3625,5312,2535,2112,8554
+,161,6737,5610,1204,4067
+,407,5358,2557,2642,5318
+,3753,2975,8527,9745,3026
+,495,4750,712,7190,5809
+,4059,7252,4045,5570,1307
-,354,0,0,0,0
+,6719,486,6512,705,2373
+,6311,362,6605,3922,912
+,7385,7755,3611,9850,6611
-,921,0,0,0,0
+,2110,4640,8826,2408,7691
+,2434,5018,2831,3639,8530
+,4287,9153,9434,2410,1842
+,8664,5406,3311,4158,5142
+,5599,9192,2498,9433,1779
+,1305,6249,6162,4947,3066
+,2177,1297,1278,4536,2735
+,7174,1300,6472,3412,557
+,6966,137,2776,5209,5578
+,1937,858,162,3022,8039
+,298,2681,3134,6596,7514
+,6348,7640,9946,5682,9557
+,7204,5855,7195,1526,727
+,4694,9246,7969,9056,7118
+,1069,3963,3470,7874,7121
-,289,0,0,0,0
+,4071,4062,4109,8277,6742
+,2400,2261,6086,7211,5451
+,7207,5213,3302,7806,8023
-,387,0,0,0,0
+,3116,9713,6969,6570,2847
+,8721,4010,6844,5823,5720
-,929,0,0,0,0
+,2943,9254,9566,6287,7272
-,134,0,0,0,0
+,5980,1845,2975,2432,4508
+,8712,8726,3227,6507,6583
+,7200,8606,4478,5141,4040
+,1860,2421,7652,458,3591
+,7465,5982,6338,2456,2804
+,8738,5053,3513,9106,3192
+,9175,1293,7779,222,1890
+,3158,1032,9001,8977,6993
+,1076,5653,7941,6464,7743
+,3868,1541,6389,1281,4931
+,8776,275,4496,9530,7701
+,2970,5068,5989,6196,9335
+,8815,3455,5737,5024,1010
+,3997,5714,9536,2021,3513
+,8838,6709,9073,4180,3160
-,380,0,0,0,0
+,5553,6112,9504,2187,2711
+,6407,4985,6131,1773,3291
+,7766,8216,9127,6092,6045
+,6302,1959,6344,9032,9719
+,5556,3877,9802,5621,7206
+,9303,8661,541,9452,3504
+,3654,5348,8349,7949,3944
+,7792,8042,3170,4501,9880
+,9325,4534,580,2966,2741
+,2839,9052,6593,8737,9010
+,9348,5850,6505,9697,4573
+,639,6680,4726,7528,7842
+,4399,6620,1237,4243,6628
+,2209,3670,3483,6159,1758
+,6099,7460,5523,7611,3126
+,8853,640,1683,3022,6355
+,8048,3576,983,7242,3310
+,4601,7384,4796,7968,8707
+,7142,8284,816,4192,7482
+,7469,3488,1500,4757,176
+,5269,2844,995,8326,5701
-,447,0,0,0,0
+,2235,7682,1965,1638,4357
+,3144,6473,938,9430,7190
-,500,0,0,0,0
+,8254,9824,3934,4395,4312
+,7904,648,180,642,9036
+,3321,7933,2916,3376,4259
+,120,744,349,6845,3930
+,3953,6560,5919,2182,1583
+,251,6434,7910,3780,3739
+,7072,8357,7745,6596,8191
+,9979,5625,1225,1911,7893
+,9354,2943,2284,3650,4013
+,7786,6089,4248,7382,1908
+,4138,731,347,4806,9854
+,5654,3719,8516,6156,4328
+,9256,2743,3651,7537,1971
-,701,0,0,0,0
+,1865,6712,9207,2054,84
+,2357,8789,6567,5739,7562
+,3251,3081,5469,7937,3211
+,762,1494,8008,9556,3722
+,9161,836,8454,3188,3603
+,9288,6639,8736,9745,3272
+,7810,2982,1447,8684,1786
-,969,0,0,0,0
+,1041,4810,8270,5942,8460
-,433,0,0,0,0
+,4708,6654,5323,256,6090
+,4773,9942,9035,8769,123
+,2004,2032,817,2498,7376
+,7081,7851,3816,812,5824
+,6932,2029,9946,629,4629
+,4667,7448,4104,2270,9713
+,4205,1545,9482,7276,9844
-,468,0,0,0,0
+,7160,5592,5328,2436,4119
+,2766,9215,6004,5254,814
+,978,3955,2556,9339,5774
+,2631,4311,2647,2767,4624
+,4406,3024,6873,6269,8998
+,2206,6704,5141,6463,7778
+,8362,7307,7747,4079,4330
+,7653,2709,8037,1727,8893
+,6919,1590,9978,1553,837
+,3569,8689,5413,1263,2909
-,85,0,0,0,0
+,871,2676,6792,1972,7910
+,4920,9470,4768,6387,1789
+,5795,265,564,4241,1486
+,1970,1767,5115,809,9325
+,8470,644,1547,1288,3993
+,6101,2291,8086,0,2703
+,6666,3426,5967,9119,7675
+,9969,2009,6820,1614,8656
+,2260,3345,4804,438,2224
+,5497,1230,9419,1791,9908
+,8518,6217,6828,2347,1473
+,2455,7871,7949,637,4662
+,5146,8658,7379,6237,3936
+,2694,783,6639,6877,6928
+,4411,4447,3143,342,552
+,8711,4564,6721,9287,9508
+,5648,7046,6165,8881,8734
+,4700,6763,8184,8169,7572
+,7282,7980,1371,5730,3248
+,6791,8527,3073,8885,1075
-,665,0,0,0,0
+,1821,3137,6173,2891,9148
+,3962,2653,9685,5398,7350
+,7591,1007,8762,7824,6861
+,1866,8898,1298,1190,2181
+,896,1469,9638,1803,7242
+,9120,1356,4615,983,6047
+,4330,1583,1835,2250,2395
+,6249,7354,3796,6183,708
+,5352,4544,6727,7001,3122
-,595,0,0,0,0
+,9865,9694,2226,6493,5505
+,698,6540,2079,9709,285
+,1383,9338,9902,3670,7731
+,6550,3535,1092,6617,1455
+,3984,3321,8448,2534,8648
+,5379,7689,1560,4269,2928
+,1432,4878,244,6062,8695
+,3705,5718,3803,8461,2665
+,5848,9750,7535,3107,3270
+,7079,2230,491,2034,2185
+,8665,6128,1866,573,6998
+,5799,4551,3516,1411,4379
+,5574,2583,2899,7752,6125
+,7458,7301,6701,4156,3902
+,1645,5568,3268,1868,5307
+,2158,7074,7772,6097,8031
+,6271,919,7788,983,2023
-,340,0,0,0,0
+,1893,4120,6894,1685,1538
+,8372,4351,5559,6385,1253
+,5612,7456,1371,664,6985
+,7870,4897,3069,8825,9118
+,2626,7823,7862,9608,848
+,1626,4972,5950,5915,8711
+,7268,5216,1173,5923,5150
+,7371,5140,4430,7644,6481
+,9618,3639,9273,9410,2054
+,5357,5419,2908,6447,1151
+,9873,7421,9455,9194,8073
+,1310,1760,9800,5603,2969
+,6875,8673,4327,3161,9
+,6201,1565,3955,1873,9992
+,9455,5516,712,6116,7481
+,6461,5946,2550,3961,4931
+,2164,6456,3383,28,8385
+,6938,3757,2264,1826,2247
-,362,0,0,0,0
+,2577,3793,872,9495,252
+,7588,9687,9743,3095,7445
+,9436,115,7776,9949,6997
+,8107,6706,5980,7745,1840
+,6656,2866,3052,6724,5549
+,6034,6762,3958,3358,2411
+,3456,3124,9139,2480,7322
+,5012,8619,4734,8578,9132
+,8782,5603,7251,3122,9901
+,8249,5116,8437,9549,8440
+,8651,2378,7924,7381,3813
+,4524,1058,2749,9047,1438
+,1952,9288,8399,6696,9004
+,4723,381,5627,7778,4936
+,1452,5623,218,8623,8647
+,1817,3977,4188,6555,6495
+,9132,7887,1734,5791,7881
+,2980,1130,5949,5577,4349
+,4994,4135,2849,7615,3613
+,8760,4849,3292,7116,1696
+,5720,4948,5247,9824,8024
+,171,2568,7114,5039,9076
-,634,0,0,0,0
+,4611,3564,2423,5563,2995
+,2778,1089,9759,2904,2177
+,8351,8976,7323,3560,5020
+,23,5524,1094,4348,1581
+,9563,9421,6624,2560,815
+,2021,3522,9624,5945,1357
+,3039,8819,4231,9047,6140
+,7993,4380,421,3194,7977
+,622,941,5580,3925,1026
+,1103,8477,5067,2872,1453
+,8969,5901,1578,9868,3344
+,3649,256,9669,8495,9227
+,7982,4151,3564,5695,4431
+,5934,6707,3797,2335,7018
+,475,8232,163,5435,5849
+,415,4972,2681,9489,9279
+,7086,2923,662,9898,8772
+,5105,6308,4355,2781,88
+,255,2068,325,1979,4092
+,1482,1258,9187,2552,7189
+,2402,4570,7303,2921,5672
+,4598,5962,8048,8441,7946
-,668,0,0,0,0
-,362,0,0,0,0
+,714,9713,7654,67,132
-,647,0,0,0,0
-,493,0,0,0,0
+,1294,3913,5101,7944,1346
+,4511,8101,8745,1837,6582
-,617,0,0,0,0
+,2612,3978,4241,2459,6831
+,8543,1496,7352,3247,3463
+,6766,5791,2603,8657,2091
+,6944,8510,7432,1635,2455
+,4004,9261,9450,6290,2947
+,9689,834,4180,7589,1140
+,6273,8437,4632,303,8036
+,1735,9358,5091,4711,501
+,1133,3125,6995,5713,8060
+,7526,3752,754,9795,8600
+,1587,4305,7552,2258,7139
+,5014,7206,4641,9654,7336
-,970,0,0,0,0
+,8181,4812,1742,5359,4637
+,4087,6394,8491,5639,5597
-,120,0,0,0,0
+,725,1879,8475,9919,2593
+,7478,3223,4690,8574,3647
+,6813,5294,367,4308,2767
+,2200,356,6148,1090,4127
+,4759,2294,6346,1962,2642
+,7571,8721,3758,6878,3047
+,3447,1450,3048,2303,4317
-,93,0,0,0,0
+,1854,9961,6199,3109,7020
-,799,0,0,0,0
+,6181,127,6038,8506,3933
+,8432,1321,6398,2380,5890
+,1805,9826,112,4720,4923
+,7328,5280,59,6549,2706
+,8757,9189,8249,9540,5014
+,1389,4807,2046,7925,6436
+,1958,6670,3821,3206,3211
+,2999,7050,6571,2682,3491
+,2596,1656,6428,1032,3271
+,92,6387,3713,9944,1560
+,3254,1329,4541,930,6514
+,5650,2616,574,1986,3991
+,9439,4952,3628,552,1434
+,1411,9260,8264,6413,2913
+,3791,8391,6667,3532,6717
+,3906,1505,9765,9170,1842
+,6997,855,3365,2442,2428
+,9208,7576,4328,9507,315
+,4772,7570,2055,8383,7511
+,449,3331,6656,9038,7110
+,3805,257,6449,6182,4946
+,1966,4130,5920,985,837
+,6336,1367,9398,3838,3597
+,9442,9024,4556,630,3696
+,9598,4453,2802,9209,5137
+,1670,7643,9846,6911,3525
+,511,7104,271,8486,4545
+,3167,8236,6374,8174,7845
-,451,0,0,0,0
+,8700,1625,9437,5803,668
+,4761,8047,4387,6547,3571
+,5823,8553,1167,2503,9409
+,231,8332,1574,869,8664
+,7671,2908,5690,4905,7853
+,508,3987,949,1582,3326
+,8478,7176,20,4118,5937
+,1155,4117,122,8089,7226
+,8750,2402,4943,9922,4486
+,3725,4926,6031,301,1651
-,269,0,0,0,0
+,6923,1751,4074,6921,1074
+,6177,3273,6484,9185,2030
+,7888,6374,1867,9513,3799
+,5061,6782,4611,6091,8182
+,6260,4454,2636,3689,4520
+,7457,4157,1986,4852,4530
+,5120,2529,3576,8323,7600
+,474,1133,7787,869,8124
+,9835,2792,9941,1420,1477
+,3177,2809,9531,6059,7246
-,388,0,0,0,0
+,9895,1729,1189,3024,3416
+,3935,1019,2814,1073,2743
-,10,0,0,0,0
+,6243,7136,8508,7106,9493
+,8481,8496,4588,2250,3246
+,7627,7379,5715,2617,4609
-,617,0,0,0,0
+,6552,9965,2319,5403,611
+,5622,8777,9021,8292,2625
+,2249,7536,3147,2138,1984
+,2140,6161,543,8911,6359
+,7201,4623,1163,3698,3863
-,662,0,0,0,0
+,4265,8798,587,9696,2425
+,3005,1991,9220,3034,1971
+,6399,8028,2397,3375,6399
+,3799,2040,3837,6898,9179
+,6918,4601,5098,4747,2820
+,5945,4457,4262,4600,1600
-,381,0,0,0,0
+,5871,1967,5272,5228,8304
+,4084,5648,8400,5048,4339
+,3677,301,5941,5725,2601
+,2374,2257,7905,8817,4893
+,79,6264,5377,5980,9103
+,2222,5412,9315,1642,3432
+,551,7393,4877,6619,7142
+,5389,1254,2254,7263,5416
+,1895,7271,7093,4790,7090
+,335,7702,9524,8150,1129
+,3125,4805,2707,5661,4799
+,3061,8537,1298,7366,2622
+,6700,6981,6485,6217,2514
+,4034,548,7399,1414,7260
+,4093,8337,1617,5723,6388
+,2406,439,9316,6894,4738
+,2598,628,4351,6516,7481
+,4542,6271,9007,3483,632
+,2556,4573,2062,5621,515
+,7485,6725,9477,3350,7515
+,9240,6472,4079,20,9686
+,1331,9641,8333,3925,9370
+,4888,2394,4441,4236,1793
+,30,9342,7488,4844,4927
-,423,0,0,0,0
+,8997,3019,229,8977,2416
+,1441,1615,7515,2925,2320
+,5057,3411,4832,7943,8295
+,853,5345,9663,2673,4493
+,925,7992,4727,9688,3779
+,7715,8447,8091,8522,1948
+,2224,4841,9852,1016,7994
+,5359,2213,5753,6051,6509
+,5974,3787,1419,1806,1119
+,1030,6214,1592,7875,4417
+,9548,9312,9134,4489,2860
-,66,0,0,0,0
+,6000,1481,8693,1655,5833
+,2561,5130,2326,3853,192
+,3755,3772,2696,2319,921
+,6057,860,0,3698,6768
+,6478,715,8817,7512,8215
+,6244,2857,7734,2672,9292
+,684,4433,1153,2264,1648
+,3883,8943,6215,5483,4825
-,481,0,0,0,0
+,1333,1065,8080,9744,8136
+,936,2334,2566,5097,8633
+,6341,9780,3947,8546,946
+,7529,3558,4632,378,3653
+,8455,4162,7543,5925,4601
+,1705,6919,1062,396,2771
+,8862,7871,5423,7877,4219
+,9614,799,5114,9528,3146
+,5927,2962,9338,3275,5476
+,3675,5144,656,5946,1726
+,6188,4721,2039,2446,4810
+,2409,9507,3773,2684,8131
+,2002,1382,1263,9858,8716
+,3720,321,3014,8358,1631
+,5459,683,9866,9154,9245
+,1819,8092,1910,1503,5646
+,4362,1720,6098,3214,4941
+,913,705,2298,4279,9344
+,7050,7360,9084,9376,6822
+,2671,4606,5651,9571,9546
+,240,2570,707,2482,9426
+,4783,8149,5325,6884,2669
+,5418,2206,7684,6184,3014
+,4812,8628,792,5063,5016
+,1143,8958,6247,9837,3426
+,2042,4927,5513,8278,1947
+,7257,4323,819,9219,7964
+,8645,5747,2636,1766,7328
+,7265,390,6970,5280,4320
+,5130,5774,8068,7488,693
+,6139,651,4326,475,4123
-,738,0,0,0,0
+,1568,9936,1144,7829,2908
+,6789,7734,5579,8446,943
+,7283,4828,8469,1407,3292
+,6036,3472,62,1333,9107
+,7185,52,8791,8853,1295
+,2605,3438,6966,834,2041
+,5817,8602,2482,2379,4943
+,1039,3553,4537,4277,2862
-,437,0,0,0,0
+,7290,5135,2576,5001,9987
+,4083,10000,9353,4171,9025
+,4567,6651,4428,8671,3773
-,953,0,0,0,0
+,4475,3585,7979,2033,1605
+,8617,1980,9392,5350,9207
+,6445,1803,5117,6542,5835
+,4227,2232,1441,9837,3368
+,2086,9173,3908,734,1431
+,759,9829,354,8774,616
+,5317,7458,8724,8027,9537
+,6393,9840,6027,4803,5120
-,48,0,0,0,0
+,9955,745,1445,4854,6303
+,9792,4447,7335,2473,4410
+,3203,1706,5969,5411,7220
+,5749,8532,7274,90,3360
+,3286,7497,3603,8286,8140
+,7374,7909,510,5899,7086
+,2407,5415,8797,2589,5527
+,3410,9625,5021,3857,8300
-,150,0,0,0,0
+,4714,1220,3276,1186,6008
+,219,7582,1521,5185,5358
-,592,0,0,0,0
+,1681,4071,1420,9976,4912
+,7548,5873,1995,8960,653
+,9000,7358,4026,1627,8636
-,951,0,0,0,0
+,6676,2084,7308,2290,9635
+,4579,2484,5059,966,7808
+,643,5304,9972,1071,8514
+,4295,8083,4798,1444,9378
+,6200,6762,3469,2324,1362
+,8060,2000,6528,606,824
+,5542,3425,5675,3198,8454
+,7487,8963,3288,1942,6229
+,414,7925,9444,824,1447
+,9912,4525,159,398,2403
-,991,0,0,0,0
+,6562,8156,9633,3399,1892
+,4212,4477,9164,747,9062
+,5507,4570,2236,8016,5728
+,6245,8277,2462,2431,4845
+,7835,7150,1433,2603,4341
+,111,547,8093,9094,7412
+,4068,2516,1333,5528,6191
+,798,2409,5975,1676,9560
+,5438,8551,1014,1954,7157
+,316,720,2225,1745,2055
+,5669,2936,9938,7758,5081
+,5361,586,73,1193,9032
+,2715,2561,2443,325,6906
+,4111,5831,4433,5084,2757
+,4696,6584,3473,9616,6201
+,5421,9009,7607,534,5955
+,2395,2452,1201,953,9338
+,2946,5533,9538,679,2596
-,462,0,0,0,0
+,9310,4922,6362,859,9070
+,9269,1548,4214,6718,4626
+,6048,9766,2157,1066,2848
+,3075,3536,4612,9318,9666
+,2877,6700,1800,3415,374
+,7566,3456,8182,6248,9000
+,4037,8697,7432,7935,1044
+,5127,6015,3057,2335,4510
+,3958,845,3483,7521,4798
+,9859,2484,5513,2358,9934
-,868,0,0,0,0
+,7662,8078,2814,7909,1027
+,6969,6556,3856,7918,681
+,4458,4,9345,526,1852
+,9675,3358,7380,6852,6788
+,3122,1227,3040,9972,9124
+,7597,2669,5647,5552,5535
+,4823,3499,6753,966,7753
+,7963,6099,8226,2625,9193
+,2156,5915,9279,5412,2938
+,7988,9391,8660,3568,5387
+,1679,3943,4863,84,5842
+,3524,2501,8217,9243,7956
+,7191,333,5274,8078,4807
+,9300,3920,2848,2603,8895
+,3087,1491,6079,6751,4003
+,1971,277,6178,2774,6927
+,6886,6898,1007,9327,4350
+,5790,7878,4761,6166,9504
+,6175,5641,5167,6026,1619
+,2794,8591,7888,9828,939
+,6548,4015,8745,6105,8149
-,836,0,0,0,0
+,1026,3253,9070,9401,5683
+,8246,7532,9774,3853,1145
+,8505,342,2824,8633,3323
+,6615,8692,6238,7220,8833
+,7900,4618,4133,1139,3913
+,5007,6599,8726,5781,223
+,520,8250,3698,6835,7311
+,5214,8690,1284,7690,125
+,5734,9355,2834,6463,6330
+,6270,1603,1087,4916,619
+,2033,2244,3210,5272,5008
+,5353,1322,3479,2058,3506
+,9746,6588,848,3521,5964
+,4067,9745,8638,364,1211
+,704,4156,3076,5197,5943
+,2919,9311,5431,9832,7425
+,9083,7726,9950,4474,4437
+,9687,8853,4109,8499,8174
+,4488,4283,5550,2564,7202
-,441,0,0,0,0
+,5486,2886,287,5427,7676
+,903,8732,855,206,9664
+,3972,7348,1689,6808,5370
-,961,0,0,0,0
+,9764,3479,1583,8179,4229
+,9058,5403,614,392,7118
+,1785,8543,4828,4248,4462
+,5339,4950,6415,6077,7120
+,3236,7814,8900,2137,3445
+,6216,5863,3239,3016,7606
+,5664,5097,6623,8434,7724
+,3896,7839,3560,9119,8810
+,3888,912,5784,6380,4229
+,2732,6392,2044,8105,131
-,633,0,0,0,0
+,2522,3536,5657,9586,8543
+,4426,5947,1186,9848,2081
+,6707,8049,4456,1273,5766
+,9073,9928,5697,3764,2242
+,532,8114,6773,7069,8708
+,5115,2750,7832,1002,3899
+,1100,5749,9467,3010,8900
+,7162,8165,479,5302,7372
+,9853,2888,4993,4650,6106
+,4670,7541,8586,5050,8478
-,797,0,0,0,0
+,2803,3200,3786,6338,6288
+,1838,5687,8823,1657,8282
+,3660,1885,1947,9674,4464
+,3849,875,7644,9165,9633
+,6187,6607,7059,97,2381
+,6622,2969,4091,5045,160
+,9725,4960,8028,8082,9845
+,8330,9199,8021,7690,6308
+,8921,258,8731,8757,2743
+,1778,9673,8437,3106,4263
-,626,0,0,0,0
+,6811,2673,1953,8605,6433
+,887,856,2134,1395,1325
-,580,0,0,0,0
+,7739,7385,4766,6838,7266
+,7756,1965,2988,4211,7416
+,3215,6331,3619,3227,7413
+,5732,1688,9555,5506,4611
+,368,3201,1755,1621,5567
+,5427,5016,380,1549,2301
+,8356,6807,9815,4548,5726
+,788,8982,2214,4662,7820
+,3266,1485,4892,7687,518
+,5543,7392,8142,3416,3545
+,8516,2840,5891,4336,7715
+,3578,4994,7614,4593,4372
+,2243,6674,3869,2648,1698
+,5435,6453,799,8777,8819
